Behavioral Variable,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,composite,composite,composite
Base Metric,,,
CP,0.18396108493366287,0.5635835487045423,0.28893149365482773
ST_PREC,0.18396108493366287,0.06838549123257674,0.024076468777226998
ST_PREM,0.28893149365482773,0.28893149365482773,0.28893149365482773
T_PREC,0.13244033125518512,0.06838549123257674,0.024076468777226998
T_PREM,0.2246482149606045,0.3395601471151217,0.28893149365482773
