Behavioral Variable,G_resp,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,600_4,600_4,600_4,600_4
Base Metric,,,,
CP,0.7377339827845745,0.5063970533220532,0.7377339827845745,0.7377339827845745
ST_PREC,0.338920680426461,0.7377339827845745,0.338920680426461,0.3354182549092395
ST_PREM,0.7377339827845745,0.7377339827845745,0.8911760411465042,0.8911760411465042
T_PREC,0.3354182549092395,0.609232074941147,0.3354182549092395,0.3354182549092395
T_PREM,0.7377339827845745,0.7377339827845745,0.9314781662906078,0.9314781662906078
