Behavioral Variable,G_resp,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,400_4,400_4,400_4,400_4
Base Metric,,,,
CP,0.7971832589187628,0.49554909805783603,0.5521160052156973,0.5521160052156973
ST_PREC,0.49554909805783603,0.2676066424031157,0.27240709288306447,0.1846051211719728
ST_PREM,0.49554909805783603,0.1846051211719728,0.297363567297077,0.1846051211719728
T_PREC,0.5521160052156973,0.34266950405615143,0.27240709288306447,0.1846051211719728
T_PREM,0.5521160052156973,0.1846051211719728,0.34651843945818517,0.2676066424031157
