Behavioral Variable,G_resp,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,600_5,600_5,600_5,600_5
Base Metric,,,,
CP,0.830294750289466,0.8430993170987515,0.830294750289466,0.830294750289466
ST_PREC,0.830294750289466,0.925805353971006,0.830294750289466,0.830294750289466
ST_PREM,0.925805353971006,0.925805353971006,0.830294750289466,0.925805353971006
T_PREC,0.830294750289466,0.925805353971006,0.830294750289466,0.830294750289466
T_PREM,0.925805353971006,0.925805353971006,0.830294750289466,0.925805353971006
