Behavioral Variable,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,composite,composite,composite
Base Metric,,,
CP,0.5983802060176374,0.5983802060176374,0.9428176505226172
ST_PREC,0.5983802060176374,0.5983802060176374,0.5983802060176374
ST_PREM,0.5983802060176374,0.7228322954637061,0.5983802060176374
T_PREC,0.5983802060176374,0.5983802060176374,0.5983802060176374
T_PREM,0.5983802060176374,0.7846059688806329,0.5983802060176374
