Behavioral Variable,G_resp,binary_or_ternary_introduced,entropy_diff_norm_q_avg,isochrony_introduced
Condition,400_4,400_4,400_4,400_4
Base Metric,,,,
CP,0.8792284464815754,0.8792284464815754,0.443930647545268,0.443930647545268
ST_PREC,0.8792284464815754,0.8792284464815754,0.9997039225459372,0.8792284464815754
ST_PREM,0.8792284464815754,0.443930647545268,0.8792284464815754,0.443930647545268
T_PREC,0.8792284464815754,0.8792284464815754,0.8792284464815754,0.8792284464815754
T_PREM,0.8792284464815754,0.443930647545268,0.8792284464815754,0.8792284464815754
