subject_id,G_resp_400_4,entropy_diff_norm_q_avg_400_4,asynchrony_norm_abs_avg_400_4,iti_ioi_cov_diff_avg_400_4,simple_ratio_introduced_400_4,tempo_deviation_abs_avg_400_4,G_resp_400_5,entropy_diff_norm_q_avg_400_5,asynchrony_norm_abs_avg_400_5,iti_ioi_cov_diff_avg_400_5,simple_ratio_introduced_400_5,tempo_deviation_abs_avg_400_5,G_resp_600_4,entropy_diff_norm_q_avg_600_4,asynchrony_norm_abs_avg_600_4,iti_ioi_cov_diff_avg_600_4,simple_ratio_introduced_600_4,tempo_deviation_abs_avg_600_4,G_resp_600_5,entropy_diff_norm_q_avg_600_5,asynchrony_norm_abs_avg_600_5,iti_ioi_cov_diff_avg_600_5,simple_ratio_introduced_600_5,tempo_deviation_abs_avg_600_5,G_resp_collapsed,entropy_diff_norm_q_avg_collapsed,asynchrony_norm_abs_avg_collapsed,iti_ioi_cov_diff_avg_collapsed,simple_ratio_introduced_avg_collapsed,tempo_deviation_abs_avg_collapsed,isochrony_introduced_400_4,isochrony_introduced_400_5,isochrony_introduced_600_4,isochrony_introduced_600_5,binary_or_ternary_introduced_400_4,binary_or_ternary_introduced_400_5,binary_or_ternary_introduced_600_4,binary_or_ternary_introduced_600_5
20,0.004762696,-0.070941382,0.023462763,-0.006973241,-0.154829545,0.0543689,0.000764126,-0.08166508,0.021155431,-0.005788745,0.2005813953488365,0.046599706,0.084820451,-0.118421241,0.024505409,-0.024837006,1.2616279069767444,0.066215724,0.057809918,-0.178383291,0.023859278,-0.033146636,2.9282945736434103,0.062123344,0.037039298,-0.112352748,0.02324572,-0.017686407,0.174418605,0.057326919,0.6136363636363633,0.2790697674418601,2.0930232558139537,2.651162790697674,-0.768465909,-0.078488372,-0.831395349,0.2771317829457365
21,0.024429089,-0.112950302,0.027699467,-0.001309927,2.1022727272727275,0.063971516,0.016787523,-0.079847705,0.029297576,-0.001743267,0.4353070175438591,0.064202946,0.074640062,-0.206562673,0.036241673,-0.027652917,0.6458333333333321,0.072017074,0.082811075,-0.050186607,0.035250066,0.017244808,0.8063063063063072,0.095252291,0.049666937,-0.112386822,0.032122195,-0.003365326,0.156305998,0.073860957,0,0.947368421,1.0714285714285705,0.1621621621621631,2.1022727272727275,-0.512061404,-0.425595238,0.644144144
22,0.032242466,0,0.059137091,0.079463039,-0.55,0.130174033,0.008082356,0.014384104,0.060679718,0.051944729,2.958333333333334,0.096578658,0.101298974,-0.026405607,0.070931523,0.06491905,4.071428571428571,0.124923314,0.11860247,0.004046693,0.055915159,0.071889804,1.2071078431372555,0.134173892,0.065056567,-0.001993703,0.061665873,0.067054156,0.174439776,0.121462475,-0.9,-0.6,1.0285714285714285,-0.705882353,0.3499999999999996,3.558333333333334,3.0428571428571423,1.9129901960784312
23,0.077368711,-0.041075388,0.037583673,-0.021040025,0.7736111111111115,0.099763107,0.06330143,-0.095573333,0.041422043,-0.026993668,0.4113247863247864,0.084771607,0.072899393,0.148878989,0.039576568,-0.001164034,-2.2515625,0.105508175,0.063122474,-0.005856239,0.045489469,0.039980222,-2.436403509,0.139315053,0.069173002,0.001593507,0.041017938,-0.002304376,-0.103401934,0.107339486,0.7999999999999998,0.9230769230769234,-2.475,-2.368421053,-0.026388889,-0.511752137,0.2234374999999997,-0.067982456
24,0.065856275,0.031825708,0.064924526,0.081226699,-2.6796875,0.171762801,0.031782905,0.007694826,0.065296914,0.07735094,-0.552696078,0.135311594,0.024251208,0.15171064,0.091809502,0.148335624,-1.0921875,0.244415227,0.003215556,-0.034657359,0.062668486,0.075781513,1.704166666666667,0.170733949,0.031276486,0.039143454,0.071174857,0.095673694,-0.176470588,0.180555893,-4.05,-1.764705882,-4.95,-0.9,1.3703124999999998,1.2120098039215683,3.8578125,2.6041666666666665
25,0.000891155,-0.155391596,0.033760801,-0.023626012,2.787499999999999,0.075007714,0.003989069,-0.167218972,0.036480751,-0.023317127,2.7351190476190466,0.067669464,0.023355704,-0.191455133,0.033792561,-0.003750104,2.25,0.149331744,0.05314809,-0.155827828,0.03699337,-0.010017638,1.374113475177304,0.155070844,0.020346004,-0.167473383,0.035256871,-0.01517772,0.312516886,0.111769941,0.9999999999999992,1.2857142857142847,2.25,1.0212765957446797,1.7875,1.4494047619047616,0,0.3528368794326245
26,0.042013317,-0.051344236,0.031702358,0.019057297,-2.255555556,0.135117664,0.009058096,-0.026861034,0.030191857,0.010823018,0.1047297297297297,0.132437765,0.065577719,-0.140993744,0.037478406,-0.025458561,1.1006097560975594,0.083724197,0.025241074,-0.002359709,0.026859609,-0.001945169,1.665509259259259,0.096001515,0.035472552,-0.055389681,0.031558057,0.000619146,0.07020252,0.111820285,-0.2,0,1.5365853658536572,1.5,-2.055555556,0.1047297297297297,-0.43597561,0.165509259
27,0.03970865,-0.080703556,0.048363751,-0.026113935,2.3037790697674403,0.117740507,0.01638535,-0.111479315,0.049758598,-0.010332871,1.4692460317460312,0.116931268,0.078612348,-0.238054481,0.044616392,-0.014081413,3.969476744186045,0.115128212,0.144154461,-0.112995483,0.047742149,0.010762172,1.1114341085271309,0.124567191,0.069715202,-0.135808209,0.047620223,-0.009941512,0.310215947,0.118591794,2.5116279069767424,1.1428571428571423,2.930232558139533,0.4186046511627896,-0.207848837,0.3263888888888888,1.0392441860465118,0.6928294573643412
28,0.009054923,-0.131922295,0.031962462,-0.019856336,1.2961956521739122,0.072718476,0.001146966,-0.182082881,0.031029726,-0.026777365,1.7972222222222225,0.076195312,0.008414158,-0.195528647,0.036385573,-0.024872433,-0.757978723,0.082869083,0.085700427,-0.220591058,0.033551547,-0.009586898,2.490740740740741,0.092601811,0.026079118,-0.18253122,0.033232327,-0.020273258,0.233192003,0.081096171,0.5869565217391299,1.0666666666666664,0.3829787234042552,0.5333333333333332,0.7092391304347823,0.7305555555555561,-1.140957447,1.957407407407408
29,0.004762696,-0.152384994,0.020044114,-0.007639572,4.467329545454545,0.051824123,0.001810675,-0.106534465,0.017498468,-0.019413601,2.377604166666667,0.051453902,0.056791472,-0.178194422,0.020365708,-0.003517012,2.0598958333333317,0.045895231,0.035991543,-0.120019562,0.020046775,-0.004525475,2.741319444444443,0.042519011,0.024839096,-0.139283361,0.019488766,-0.008773915,0.357481061,0.047923067,2.249999999999999,0.375,1.6874999999999982,1.4999999999999982,2.217329545454546,2.002604166666667,0.3723958333333332,1.2413194444444444
