pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
49,1,5,400,"[0.0, 513.8743455497382, 1038.219895287958, 1607.068062827225, 2209.9476439790574]","[503.18181818181824, 537.9545454545455, 539.9999999999998, 558.409090909091]"
49,2,4,600,"[0.0, 822.027972027972, 1409.7902097902097, 2130.4195804195806]","[732.2727272727271, 421.3636363636365, 701.590909090909]"
49,3,5,400,"[0.0, 650.0, 951.8324607329843, 1117.5392670157069, 1689.0052356020942]","[564.5454545454545, 315.0, 720.0]"
49,4,4,600,"[0.0, 804.5454545454545, 1343.3566433566434, 2011.5384615384617]","[677.0454545454545, 390.68181818181824, 666.8181818181815]"
49,5,5,400,"[0.0, 273.0366492146597, 582.7225130890051, 1122.7748691099475, 1408.9005235602094]","[280.22727272727263, 272.0454545454545, 533.8636363636365, 274.090909090909]"
49,6,4,600,"[0.0, 353.4965034965035, 1133.5664335664335, 1511.5384615384614]","[323.18181818181824, 636.1363636363635, 312.9545454545455]"
49,7,4,400,"[0.0, 177.97202797202797, 775.5244755244755, 1114.3356643356642]","[801.8181818181818, 288.409090909091]"
49,8,5,600,"[0.0, 425.91623036649213, 815.1832460732984, 1251.5706806282722, 1962.82722513089]","[376.3636363636364, 378.409090909091, 405.0, 709.772727272727]"
49,9,4,400,"[0.0, 482.16783216783216, 733.5664335664335, 981.4685314685314]","[445.909090909091, 257.7272727272725, 255.68181818181824]"
49,10,5,600,"[0.0, 774.0837696335078, 1168.586387434555, 1777.7486910994764, 2575.392670157068]","[730.2272727272729, 331.36363636363626, 355.909090909091, 681.1363636363635]"
49,11,5,400,"[0.0, 380.36649214659684, 676.9633507853403, 1143.717277486911, 1586.9109947643979]","[394.77272727272725, 233.18181818181824, 439.77272727272725, 699.5454545454547]"
49,12,4,600,"[0.0, 629.7202797202797, 1427.2727272727273, 1791.2587412587413]","[572.7272727272726, 762.9545454545455, 317.0454545454545]"
49,13,5,400,"[0.0, 241.62303664921467, 593.1937172774869, 1120.1570680628272, 1432.4607329842931]","[225.0, 343.6363636363635, 660.6818181818185, 339.5454545454545]"
49,14,4,600,"[0.0, 769.5804195804196, 1168.5314685314686, 1882.1678321678323]","[666.8181818181818, 366.13636363636374, 685.2272727272727]"
49,15,4,400,"[0.0, 569.5804195804196, 744.0559440559441, 1110.839160839161]","[523.6363636363636, 182.0454545454545, 317.0454545454545]"
49,16,4,600,"[0.0, 832.5174825174826, 1511.188811188811, 1969.5804195804194]","[736.3636363636365, 764.9999999999998, 339.5454545454545]"
49,17,5,400,"[0.0, 458.9005235602094, 970.1570680628272, 1248.4293193717276, 1893.1937172774867]","[507.27272727272725, 566.5909090909092, 310.90909090909076, 621.818181818182]"
49,18,4,600,"[0.0, 374.4755244755245, 1028.6713286713286, 1605.944055944056]","[310.9090909090909, 658.6363636363637, 693.4090909090908]"
49,19,4,400,"[0.0, 254.8951048951049, 579.7202797202797, 876.5734265734266]","[267.9545454545455, 345.68181818181824, 407.0454545454545]"
49,20,4,600,"[0.0, 416.43356643356645, 811.8881118881119, 1266.7832167832169]","[398.8636363636364, 409.090909090909, 435.68181818181824]"
49,21,5,400,"[0.0, 521.7277486910995, 676.9633507853403, 981.413612565445, 1568.5863874345548]","[480.68181818181824, 177.9545454545455, 315.0, 619.7727272727273]"
49,22,5,600,"[0.0, 433.7696335078534, 1058.6387434554972, 1460.9947643979056, 1983.769633507853]","[370.22727272727275, 664.7727272727273, 445.909090909091, 507.272727272727]"
49,23,4,400,"[0.0, 636.013986013986, 1135.6643356643358, 1289.1608391608393]","[589.090909090909, 495.0]"
49,24,4,600,"[0.0, 405.94405594405595, 1109.090909090909, 1745.8041958041958]","[400.909090909091, 679.0909090909092, 638.181818181818]"
49,25,4,400,"[0.0, 303.84615384615387, 838.4615384615386, 1257.6923076923078]","[323.18181818181813, 519.5454545454547, 539.9999999999998]"
49,26,4,600,"[0.0, 486.3636363636364, 1046.1538461538462, 1494.055944055944]","[531.8181818181818, 523.6363636363637, 507.2727272727275]"
49,27,4,400,"[0.0, 363.2867132867133, 569.2307692307693, 841.6083916083917]","[447.9545454545455, 202.5, 315.0]"
49,28,5,600,"[0.0, 823.8219895287957, 1532.4607329842931, 2358.9005235602094, 3064.9214659685863]","[650.4545454545456, 762.9545454545453, 709.7727272727275]"
49,29,5,400,"[0.0, 170.94240837696336, 750.261780104712, 963.089005235602, 1178.5340314136124]","[180.0000000000001, 572.7272727272727, 245.45454545454527, 276.1363636363635]"
49,30,5,600,"[0.0, 373.5602094240838, 1100.523560209424, 1851.047120418848, 2386.9109947643974]","[329.31818181818187, 568.6363636363635, 656.5909090909092, 497.0454545454545, 382.5]"
49,31,4,400,"[0.0, 398.25174825174827, 611.1888111888112, 1065.3846153846155]","[462.2727272727275, 210.68181818181802, 364.09090909090924]"
49,32,4,600,"[0.0, 489.86013986013984, 927.2727272727273, 1752.7972027972028]","[421.3636363636364, 443.86363636363626, 683.181818181818]"
49,33,4,400,"[0.0, 538.1118881118881, 1051.7482517482517, 1320.6293706293707]","[580.9090909090909, 566.590909090909, 270.0000000000002]"
49,34,4,600,"[0.0, 846.5034965034965, 1686.0139860139861, 2189.86013986014]","[726.1363636363635, 787.5, 423.409090909091]"
49,35,5,400,"[0.0, 204.9738219895288, 765.9685863874346, 1004.9738219895288, 1264.9214659685863]","[239.31818181818187, 566.590909090909, 272.0454545454545, 315.0]"
49,36,5,600,"[0.0, 415.4450261780105, 859.6858638743456, 1471.4659685863876, 1894.7643979057593]","[419.31818181818187, 413.181818181818, 681.1363636363635, 368.18181818181847]"
