pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
57,1,4,400,"[0.0, 471.6783216783217, 950.3496503496503, 1502.4475524475524]","[552.2727272727274, 593.181818181818, 603.4090909090908]"
57,2,4,600,"[0.0, 514.3356643356643, 1241.958041958042, 1595.4545454545455]","[517.5, 617.7272727272727, 312.9545454545455]"
57,3,4,400,"[0.0, 433.21678321678326, 862.937062937063, 1474.4755244755247]","[409.0909090909091, 388.6363636363635, 519.5454545454545]"
57,4,5,600,"[0.0, 750.5235602094241, 1595.2879581151833, 2144.240837696335, 2808.3769633507854]","[607.5, 652.5, 752.7272727272727, 323.181818181818]"
57,5,4,400,"[0.0, 468.1818181818182, 1062.2377622377624, 1600.3496503496503]","[548.1818181818182, 560.4545454545455]"
57,6,5,600,"[0.0, 781.9371727748692, 1213.0890052356021, 1785.6020942408377, 2151.30890052356]","[781.3636363636364, 357.9545454545455, 582.9545454545453, 325.227272727273]"
57,7,5,400,"[0.0, 464.13612565445027, 813.0890052356021, 1237.958115183246, 1605.2356020942407]","[1423.6363636363637, 507.272727272727]"
57,8,5,600,"[0.0, 541.0994764397906, 982.7225130890052, 1497.6439790575917, 2190.5759162303666]","[548.1818181818181, 335.4545454545455, 589.090909090909, 568.6363636363635]"
57,9,4,400,"[0.0, 226.92307692307693, 446.8531468531469, 607.3426573426574]","[204.5454545454545, 394.77272727272737]"
57,10,4,600,"[0.0, 542.3076923076924, 1074.1258741258741, 1770.2797202797203]","[544.090909090909, 550.2272727272727, 546.1363636363637]"
57,11,5,400,"[0.0, 286.1256544502618, 896.8586387434555, 1308.6387434554972, 1647.1204188481674]","[321.1363636363636, 589.090909090909, 544.0909090909092, 525.6818181818182]"
57,12,4,600,"[0.0, 818.5314685314686, 1490.2097902097903, 2284.2657342657344]","[736.3636363636365, 691.3636363636363, 672.9545454545455]"
57,13,4,400,"[0.0, 601.048951048951, 1002.7972027972028, 1561.8881118881118]","[679.090909090909, 308.8636363636365, 585.0]"
57,14,5,600,"[0.0, 611.7801047120419, 1131.937172774869, 1560.4712041884816, 2033.5078534031413]","[689.3181818181819, 439.77272727272725, 717.9545454545455, 568.6363636363635]"
57,15,5,400,"[0.0, 398.6910994764398, 1012.041884816754, 1633.2460732984293, 1877.4869109947645]","[355.9090909090909, 799.7727272727273, 513.4090909090908]"
