pp_id,stim_tempo_intended,length,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop,quantized_binary_vs_total_prop,quantized_ternary_vs_total_prop,rhythmic_contours_edit_distance_avg,G_resp
20,400,4,1.391304347826087,-0.1357139486122962,0.7380952380952381,0.3369565217391304,0.1195652173913043,0.1956521739130435,0.0058232662169831
21,400,4,2.1538461538461537,0.0400182156164463,0.7708333333333334,0.4743589743589743,0.141025641025641,0.3076923076923077,0.0740301732809508
22,400,4,3.0526315789473686,0.0,0.6923076923076923,0.2368421052631578,0.1052631578947368,0.2894736842105263,0.0516202197806832
23,400,4,2.717391304347826,-0.152013518021537,0.896551724137931,0.2826086956521739,0.0326086956521739,0.3695652173913043,0.0067430025764361
24,400,4,1.3333333333333333,-0.0590960599491003,0.8571428571428571,0.3333333333333333,0.0555555555555555,0.2888888888888888,0.0143288911407757
25,400,4,1.9318181818181817,-0.2088601455983391,0.9473684210526316,0.4090909090909091,0.0227272727272727,0.3863636363636363,0.0228560870971379
26,400,4,1.225,-0.1560710409041406,0.8620689655172413,0.3125,0.05,0.5,0.0160292543168746
27,400,4,2.227272727272727,-0.0499369222121867,0.8717948717948718,0.3863636363636363,0.0568181818181818,0.3181818181818182,0.0897348648323271
28,400,4,1.71875,-0.106534465329206,0.6153846153846154,0.25,0.15625,0.21875,0.048049186306352
29,400,4,2.2142857142857144,-0.093627405578551,0.7666666666666667,0.2738095238095238,0.0833333333333333,0.5952380952380952,0.0417925205427471
30,400,4,2.1702127659574466,-0.0884868741140355,0.8947368421052632,0.3617021276595745,0.0425531914893617,0.3829787234042553,0.0488239698317938
31,400,4,2.425531914893617,-0.121693478561725,0.7222222222222222,0.2765957446808511,0.1063829787234042,0.3191489361702128,0.008030302418212
32,400,4,2.617021276595745,-0.043038479349249,0.6486486486486487,0.2553191489361702,0.1382978723404255,0.2340425531914893,0.0246216351507458
33,400,4,2.6578947368421053,-0.0045898959979346,0.7777777777777778,0.3684210526315789,0.1052631578947368,0.3421052631578947,0.0617306585007487
34,400,4,2.135135135135135,0.0374674151654024,0.6842105263157895,0.1756756756756756,0.081081081081081,0.2162162162162162,0.0487534479045543
35,400,4,1.976744186046512,-0.0429858716626322,0.8148148148148148,0.2558139534883721,0.0581395348837209,0.3488372093023256,0.0411517384085168
36,400,4,2.333333333333333,0.017851909352978,0.7941176470588235,0.3214285714285714,0.0833333333333333,0.2619047619047619,0.010322029255717
37,400,4,2.1555555555555554,-0.0077518243520673,0.7058823529411765,0.2666666666666666,0.1111111111111111,0.2444444444444444,0.0513594454245844
38,400,4,2.833333333333333,-0.0041527630457503,0.4516129032258064,0.1666666666666666,0.2023809523809523,0.3333333333333333,0.0012086377960945
39,400,4,2.6444444444444444,-0.1117991849548278,0.7428571428571429,0.2888888888888888,0.1,0.4888888888888889,0.1216999429462629
40,400,4,2.152173913043478,-0.0502280565623148,0.9166666666666666,0.2391304347826087,0.0217391304347826,0.1739130434782608,0.0245301224924565
41,400,4,2.1333333333333333,-0.0063929349433729,0.8620689655172413,0.2777777777777778,0.0444444444444444,0.2222222222222222,0.0269928681030138
42,400,4,2.2142857142857144,-0.1403335604838712,0.7741935483870968,0.2857142857142857,0.0833333333333333,0.3571428571428571,0.0621885467993412
43,400,4,3.0,0.0658789062571593,0.4705882352941176,0.2222222222222222,0.25,0.5277777777777778,0.0407322443681437
44,400,4,1.6341463414634143,-0.1860764877386711,0.896551724137931,0.3170731707317073,0.0365853658536585,0.3658536585365853,0.0097271873849628
45,400,4,1.8636363636363635,-0.1299907611909335,0.7567567567567568,0.3181818181818182,0.1022727272727272,0.2954545454545454,0.0084752333566618
46,400,4,2.697674418604651,-0.1841120481334255,0.7407407407407407,0.2325581395348837,0.0813953488372093,0.3023255813953488,0.1200852844686445
47,400,4,1.9268292682926829,-0.0901654869021066,0.7058823529411765,0.2926829268292683,0.1219512195121951,0.3902439024390244,0.0073981542727018
48,400,4,2.1041666666666665,-0.0746566445511689,0.9166666666666666,0.34375,0.03125,0.2291666666666666,0.0243906982241584
49,400,4,1.6744186046511629,-0.0967182112409225,0.7619047619047619,0.3720930232558139,0.1162790697674418,0.3023255813953488,0.0284971709448859
