pp_id,stim_tempo_intended,length,entropy_diff_avg,G_diff
20,400,4,-0.0401824452498519,-0.0071020533734366
21,400,4,0.0236973395063229,0.0627433232619534
22,400,4,0.0121604768519289,0.0307949063725827
23,400,4,-0.0841565437153889,0.0043066346879077
24,400,4,-0.127102077608913,0.0065736500755266
25,400,4,-0.0879818411569975,0.0185034187045171
26,400,4,-0.0549306144334055,0.0127958537144462
27,400,4,-0.0735156100593881,0.0843282606588662
28,400,4,-0.111984966826753,0.0409666368794313
29,400,4,-0.0660140171961853,0.0389812881890493
30,400,4,-0.0528703542508085,0.048007090558869
31,400,4,-0.058991249409357,0.006210896574044
32,400,4,-0.019663749803119,0.0178122652686566
33,400,4,-0.0775527571095078,0.0580343952823474
34,400,4,0.0124891383884675,0.0376963557295917
35,400,4,-0.0792814625705719,0.024432587876208
36,400,4,-0.017851909352978,0.0075107969020192
37,400,4,-0.12070914266554,0.0439240306985767
38,400,4,-0.0110023361993642,-0.0048148409640191
39,400,4,-0.0590960599491004,0.118376570058563
40,400,4,-0.0564820146590927,0.0221832790570817
41,400,4,-0.0718819298358462,0.022530898022125
42,400,4,-0.140333560483871,0.0620158591088159
43,400,4,0.0256721177985165,0.020231454493241
44,400,4,-0.128231594439702,-0.0012708702968129
45,400,4,-0.0420089200339361,-0.003952858806294
46,400,4,-0.100774398401888,0.116048562938507
47,400,4,-0.143756330251771,0.0025449215659605
48,400,4,-0.0770163533955495,0.0222340153813341
49,400,4,-0.0967182112409226,0.0196598514355704
50,400,4,0.0227206119037902,-0.0064258464991708
51,400,4,-0.0115524530093324,0.0873454343790625
52,400,4,-0.117880190806452,0.0062575565343391
53,400,4,-0.0339284871530741,0.0033214899631086
54,400,4,-0.086076958698498,0.0114687334308664
55,400,4,-0.0563534293138167,0.115569147980372
56,400,4,-0.0602736678747778,0.0151572786485676
57,400,4,-0.0200912226249259,0.0368656712082814
58,400,4,-0.0200912226249259,0.0475528179992396
59,400,4,-0.102688471194066,0.0074773099285301
60,400,4,-0.0462098120373297,0.0132682957202701
61,400,4,-0.125178461238757,0.0413510030131273
62,400,4,-0.028881132523331,0.0192891252198773
63,400,4,0.0,0.204788168710564
64,400,4,-0.0144405662616655,0.0150042358193764
65,400,4,-0.0874128946290921,0.0371887108093683
66,400,4,-0.0472942548194366,-0.008437270021369
20,400,5,-0.0821483651879341,0.0005568819775044
21,400,5,-0.0597365831789452,0.0247318886427645
22,400,5,-0.010502230008484,0.0241460965342186
23,400,5,-0.007876672506363,0.0004825322728047
24,400,5,-0.143101746666089,0.0235782680534796
25,400,5,-0.121123088412289,0.028332284142575
26,400,5,-0.101848339124049,0.0083732908204968
27,400,5,-0.020657016702245,0.0073728113375622
28,400,5,-0.061617535209951,0.0348620827008163
29,400,5,-0.016906028794145,0.0001753212144414
30,400,5,-0.0483591056204613,0.0817944796617887
31,400,5,-0.0659863808677481,0.0122435142001217
32,400,5,-0.026155123005526,0.0106037571396709
33,400,5,-0.049510512897139,0.0346570101241161
34,400,5,0.0115524530093324,0.0640352010592238
35,400,5,-0.0637556415560742,0.0060576918383393
36,400,5,-0.0080598509367435,-0.0044380552130451
