pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_cov_norm_avg,simple_ratio_introduced_avg,tempo_deviation_abs_avg
53,20,600,5,600_5,43,0.0578099181301451,-0.1783832907837869,0.0238592779336705,0.1720186425731183,0.4883720930232558,0.0621233444460833
28,21,600,5,600_5,37,0.0828110754646948,-0.0501866073149141,0.0352500657297004,0.2074231255122985,0.1351351351351351,0.095252291443329
22,22,600,5,600_5,34,0.1186024700746269,0.004046692724421,0.0559151594576817,0.2617335490743389,0.088235294117647,0.1341738924239495
51,23,600,5,600_5,38,0.0631224737443831,-0.0058562387112635,0.0454894692175362,0.234269143565663,-0.4473684210526316,0.1393150528608709
43,24,600,5,600_5,40,0.0032155564069533,-0.0346573590279972,0.0626684861012811,0.2814475305725944,0.15,0.1707339494235455
44,25,600,5,600_5,47,0.0531480896426208,-0.1558278279451673,0.0369933703185418,0.2018556078968755,0.2127659574468085,0.1550708442823122
35,26,600,5,600_5,36,0.0252410736666779,-0.0023597088443805,0.0268596086478902,0.1881775106202683,0.2777777777777778,0.096001515417676
29,27,600,5,600_5,43,0.1441544608233754,-0.1129954832699719,0.0477421490046094,0.2196086080193223,0.1860465116279069,0.1245671906454555
23,28,600,5,600_5,45,0.0857004269279355,-0.2205910577526055,0.0335515467223856,0.1920846185328796,0.4,0.0926018108052646
20,29,600,5,600_5,48,0.0359915427804836,-0.1200195624753833,0.0200467752080347,0.1874956486763056,0.4583333333333333,0.0425190108117403
59,30,600,5,600_5,45,0.0515970614603148,-0.2060563870924792,0.0359677454413791,0.1592285512846375,0.4888888888888889,0.2256064186850453
26,31,600,5,600_5,39,0.043829140637156,-0.1467141537939522,0.0323790798715964,0.1707459473056476,0.2307692307692307,0.058369366283236
31,32,600,5,600_5,46,0.0687819040349325,-0.020608602951153,0.0337886574948501,0.2324928124366968,0.0869565217391304,0.0614283286662451
25,33,600,5,600_5,46,0.0068643701554998,0.0226026254530417,0.0267486059786067,0.2286906078251755,-0.1956521739130435,0.0906260356464738
32,34,600,5,600_5,47,0.0091589922626252,0.0663651555855266,0.0321369600285333,0.230980273906016,-0.0425531914893617,0.0947016772939345
63,35,600,5,600_5,36,0.1408755073476045,-0.3356725872848779,0.0565833621793792,0.1794842984703916,0.8611111111111112,0.1917305417269511
48,36,600,5,600_5,48,0.0175620377411404,-0.0216608493924982,0.0246467127264917,0.2250768337386253,-0.1875,0.0769152809571719
52,37,600,5,600_5,27,0.0245396321237103,-0.1266619772317143,0.0492934595469805,0.2263678239331355,0.1481481481481481,0.1140322833702204
58,38,600,5,600_5,46,0.0179774376923986,-0.0019940225018886,0.0357089321816915,0.2439062767261861,0.2608695652173913,0.0830041255677928
66,39,600,5,600_5,42,0.0308046833388446,-0.0773803416300212,0.040360302448046,0.2417911258562618,-0.3095238095238095,0.1045900813912396
60,40,600,5,600_5,28,0.1713513649513547,0.0943491673678087,0.0788427143081378,0.3109949774461141,-0.2142857142857142,0.2872154613619656
45,41,600,5,600_5,43,0.017454815717574,-0.066611947844806,0.0302416861609771,0.2381156725013487,0.1860465116279069,0.0641561431205691
57,42,600,5,600_5,39,0.0985298167720469,-0.0612032854129627,0.0348031033471669,0.2340836239486461,0.2307692307692307,0.0843293731434975
47,43,600,5,600_5,42,0.0122120509240361,-0.2105003407258069,0.0284408202714634,0.1831420498067979,0.3571428571428571,0.0651570956826106
49,44,600,5,600_5,42,0.02338398727536,-0.0485798700196565,0.0250587051925161,0.2231689159747749,0.0952380952380952,0.0971934677107813
40,46,600,5,600_5,46,0.0484413041158808,-0.0621203965355974,0.027929439720912,0.1791016153478313,0.0217391304347826,0.0585142937341369
65,47,600,5,600_5,38,0.0167875229732765,-0.0650494118290328,0.0300996468835587,0.1902543677197505,-0.1842105263157894,0.1066536468633585
64,48,600,5,600_5,42,0.0063405429141887,0.0588542297500773,0.0451629941422017,0.2328907157050325,0.1666666666666666,0.2096434708485338
36,49,600,5,600_5,39,0.0805331408808632,0.0122406570825925,0.0357200509308575,0.2492947318438736,0.1538461538461538,0.0787303940919062
41,50,600,5,600_5,44,0.0609817833939078,-0.0838243857688122,0.0247093617320464,0.184140967284745,0.1363636363636363,0.0589269999397786
