pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
20,26,F,Danish,right,0,2,20_2,4,4,600,718.298368298368,92.0007966054355,1,801.048951048951,834.545454545455,33.4965034965036,2,1.0986122886681096,1.0986122886681096,0.0,0.0380708104632157,0.6284660762842211,0
20,26,F,Danish,right,0,2,20_2,4,4,600,718.298368298368,92.0007966054355,2,734.615384615385,793.636363636364,59.0209790209788,2,1.0986122886681096,1.0986122886681096,0.0,0.0380708104632157,0.6284660762842211,0
20,26,F,Danish,right,0,2,20_2,4,4,600,718.298368298368,92.0007966054355,3,619.230769230769,603.409090909091,15.8216783216781,2,1.0986122886681096,1.0986122886681096,0.0,0.0380708104632157,0.6284660762842211,0
20,26,F,Danish,right,0,3,20_3,5,5,400,386.256544502618,167.844059035368,1,490.314136125654,533.863636363636,43.549500237982,3,1.3862943611198906,1.3862943611198906,0.0,0.008863277114804724,0.616260449535578,0
20,26,F,Danish,right,0,3,20_3,5,5,400,386.256544502618,167.844059035368,2,165.706806282723,186.136363636364,20.429557353641,3,1.3862943611198906,1.3862943611198906,0.0,0.008863277114804724,0.616260449535578,0
20,26,F,Danish,right,0,3,20_3,5,5,400,386.256544502618,167.844059035368,3,348.952879581152,382.5,33.5471204188482,3,1.3862943611198906,1.3862943611198906,0.0,0.008863277114804724,0.616260449535578,0
20,26,F,Danish,right,0,3,20_3,5,5,400,386.256544502618,167.844059035368,4,540.052356020942,595.227272727273,55.1749167063307,3,1.3862943611198906,1.3862943611198906,0.0,0.008863277114804724,0.616260449535578,0
20,26,F,Danish,right,0,4,20_4,5,5,600,673.298429319372,130.251496482456,1,692.931937172775,795.681818181818,102.749881009043,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.022984847271863673,0.6284660762842211,2
20,26,F,Danish,right,0,4,20_4,5,5,600,673.298429319372,130.251496482456,2,850.0,769.090909090909,80.9090909090907,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.022984847271863673,0.6284660762842211,2
20,26,F,Danish,right,0,4,20_4,5,5,600,673.298429319372,130.251496482456,3,572.513089005236,572.727272727273,0.214183722036978,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.022984847271863673,0.6284660762842211,2
20,26,F,Danish,right,0,4,20_4,5,5,600,673.298429319372,130.251496482456,4,577.748691099477,562.5,15.2486910994767,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.022984847271863673,0.6284660762842211,2
20,26,F,Danish,right,0,5,20_5,5,5,400,292.670157068063,129.336328031787,1,150.0,145.227272727273,4.77272727272714,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.008863277114804724,0.616260449535578,1
20,26,F,Danish,right,0,5,20_5,5,5,400,292.670157068063,129.336328031787,2,280.890052356021,290.454545454545,9.56449309852434,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.008863277114804724,0.616260449535578,1
20,26,F,Danish,right,0,5,20_5,5,5,400,292.670157068063,129.336328031787,3,275.65445026178,300.681818181818,25.0273679200381,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.008863277114804724,0.616260449535578,1
20,26,F,Danish,right,0,5,20_5,5,5,400,292.670157068063,129.336328031787,4,464.13612565445,490.909090909091,26.7729652546404,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.008863277114804724,0.616260449535578,1
20,26,F,Danish,right,0,6,20_6,4,4,600,816.200466200466,34.4956843518621,1,832.517482517483,848.863636363636,16.3461538461537,0,0.6365141682948128,0.0,-0.6365141682948128,0.0380708104632157,0.6284660762842211,0
