pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,binary_or_ternary_introduced,tempo_deviation_abs_avg
62,54,600,4,600_4,46,0.0790946045112033,-0.290189771514926,0.02802602216602595,-0.01889317342222534,-0.3885869565217392,0.08706384380760475
62,54,600,5,600_5,48,0.0184141795179433,-0.0596732032776387,0.017963105551691772,-0.021680097214814804,-0.8689236111111113,0.08758297393937109
24,56,400,4,400_4,48,0.0115709437602966,-0.05540255620228158,0.025406277835227666,-0.029946145509785534,-0.13020833333333295,0.07004827772165372
24,56,400,5,400_5,45,0.0242162925257467,-0.12904003369692968,0.032491182958311514,-0.021698027446757123,0.3620370370370376,0.07834781774540066
24,56,600,4,600_4,47,0.0680911996637273,-0.17345498172446944,0.03498492069653806,-0.03754420988082501,-1.9015957446808516,0.09261506316503541
24,56,600,5,600_5,44,0.0229415501227919,-0.12112308841228926,0.028209113639744918,-0.038422891618301126,-1.6250000000000007,0.10770949918243358
34,57,400,4,400_4,35,0.0730019393677311,0.01320280343923705,0.03355221829902715,0.017099735608651145,0.19999999999999987,0.07540278420650678
34,57,400,5,400_5,30,0.0763969869344498,0.03618610961277856,0.041741516166496864,0.014229663696840415,2.5819444444444453,0.07997634121509305
34,57,600,4,600_4,37,0.0034350648864962,-0.04689530964764657,0.03758126090411765,0.02631223685063732,1.690878378378379,0.08953451437166247
34,57,600,5,600_5,42,0.0598621023051975,0.08579341560547718,0.03780991492229715,0.04782248401214451,3.546626984126985,0.12904886533731563
55,58,400,4,400_4,46,0.0628631248972453,-0.10671007122140758,0.03385692106582879,-0.0001412245011801145,1.5964673913043483,0.1046952874135175
55,58,400,5,400_5,44,0.0486596199182252,-0.12023474748378332,0.03288654592829388,-0.011064400602307995,-1.807765151515152,0.11598134972895914
55,58,600,4,600_4,38,0.1117382062952569,-0.13835514136915214,0.04180720653861362,-0.02503070435519799,-0.9407894736842107,0.06795722813983532
55,58,600,5,600_5,47,0.0755929706226302,-0.07095582695443807,0.03664264423403459,-0.010613155746209746,0.12677304964539018,0.06534369269296122
37,59,400,4,400_4,43,0.0412710149897241,0.0026340935937270884,0.03686120798772649,0.04595745151611824,2.313953488372093,0.09501245829327744
37,59,400,5,400_5,45,0.0187156225736271,-0.029787374301698952,0.03057911358547705,0.0372989592258572,0.9731481481481481,0.12391859088794425
37,59,600,4,600_4,48,0.0604592225157768,-0.014534670660126345,0.03179705767266795,0.044132565306806634,1.861979166666667,0.055372553492618264
37,59,600,5,600_5,48,0.0489523147849502,-0.007220283130832765,0.028196071855912348,0.04408456511367337,1.613715277777778,0.07049251734508509
46,60,400,4,400_4,37,0.124208224036555,-0.2014789175503784,0.042976945289058606,0.051350358483351954,0.9138513513513516,0.11675079884848112
46,60,400,5,400_5,35,0.0486578080669222,-0.17712107497672136,0.043805337576588506,0.056246905097059166,4.020238095238095,0.12416506512252552
46,60,600,4,600_4,46,0.0173131170561883,-0.08927754526566646,0.05199571645319085,0.08872061742139195,3.869565217391304,0.11115284099268233
46,60,600,5,600_5,43,0.0122598376615493,-0.19252742246197868,0.044861092675425526,0.08042072386490416,4.313953488372093,0.09936040770846759
27,61,400,4,400_4,45,0.0593843673404409,-0.05909605994910034,0.040295600333505925,0.04028534129279479,0.8111111111111116,0.09589269692504002
27,61,400,5,400_5,44,0.0091189432885593,-0.03641036171497106,0.037710525699713934,0.04227324743521048,1.9375,0.12824464859639237
27,61,600,4,600_4,46,0.0390145796560749,-0.11562272598737025,0.040228289979511944,0.04478582898533539,2.2472826086956523,0.09471705902007015
27,61,600,5,600_5,39,0.0469111432048644,-0.005532347547149639,0.04530994337491884,0.07666453461366148,3.567307692307693,0.12047540240783793
42,62,400,4,400_4,42,0.0526792750444238,-0.16233823288259971,0.02939187075139534,0.0011698769790772017,-1.4717261904761905,0.09092819726834815
42,62,400,5,400_5,42,0.0209658989972985,-0.11147931493152903,0.0328706877351792,-0.008822868218394397,-0.229166666666666,0.09715157036212171
42,62,600,4,600_4,46,0.0342885902643499,-0.1734340889810554,0.04515568363547742,-0.006088716273295972,1.9429347826086965,0.04623000689241779
42,62,600,5,600_5,44,0.0068314103354494,-0.10938507416057629,0.037060479089703356,0.010660578516698924,1.354166666666667,0.0716394083809682
30,63,400,4,400_4,46,0.0532792851709171,-0.08036489049970377,0.03673159107429664,-0.015204378839901644,0.05842391304347888,0.1065828487741786
30,63,400,5,400_5,43,0.0783903602250658,-0.18051643113464447,0.034923564268474094,-0.018925304636409936,1.933139534883722,0.11238861941041343
30,63,600,4,600_4,48,0.1014252336260551,-0.11571273889024579,0.04189228573271585,-0.011850928851986521,0.0,0.25569054978641975
30,63,600,5,600_5,43,0.1164073713735596,-0.14811945723210798,0.03785976293299524,-0.0017972866737246175,1.662790697674419,0.24110182885808806
54,64,400,4,400_4,47,0.0135951775741828,-0.18198579229855552,0.03767763030873817,0.004993867242104355,1.8351063829787242,0.07645505506766273
54,64,400,5,400_5,44,0.0059032806469122,-0.14981076663656043,0.031223831681963795,0.004049650380027261,1.6306818181818186,0.0847051279388594
54,64,600,4,600_4,46,0.1124897524528327,-0.20243796637194403,0.03801559440652377,0.007364443400472075,2.137228260869566,0.08254392444175938
54,64,600,5,600_5,43,0.0426540995504253,-0.11086234291911437,0.03230009377561497,0.02095473602309512,1.2470930232558144,0.0890193271343088
50,65,400,4,400_4,36,0.0191132298133452,0.03366328647773261,0.07737083970956309,0.0662712793630505,4.803819444444445,0.1179356739186856
50,65,400,5,400_5,30,0.0239478579833245,0.12424533248940002,0.07292157339044776,0.09167563789406125,-0.12916666666666715,0.11018003389907283
50,65,600,4,600_4,44,0.1134273492299321,0.165461452305511,0.07503234766226581,0.0991111394985048,3.4630681818181817,0.13508797705943007
50,65,600,5,600_5,37,0.0257290408934215,0.14174233437143316,0.06441796648501756,0.13887802145326925,3.711711711711711,0.1612966280586175
61,66,400,4,400_4,43,0.0554330913326517,-0.07522527540960647,0.03522724131872548,0.05300232930362245,2.1235465116279078,0.06618407516608073
61,66,400,5,400_5,44,0.0270577835031978,0.023630017519089056,0.03276218573452991,0.03950960654363233,3.4507575757575766,0.0892147034408358
61,66,600,4,600_4,42,0.0155348265780725,0.10732655188577862,0.04115599988968149,0.06767135557897201,4.330357142857143,0.07569769275171545
61,66,600,5,600_5,39,0.0797392281223066,0.01777300462974218,0.03519373673624867,0.04703283355188825,3.9722222222222228,0.09009539860589758
56,67,400,4,400_4,42,0.0191910788666626,-0.04670615490532027,0.03871130968208164,0.03432022366052696,1.1562500000000002,0.08107603473759536
56,67,400,5,400_5,36,0.0529709425213091,-0.10717144473953161,0.03941124986937088,0.050067581873666306,0.7737268518518519,0.10300364277683169
56,67,600,4,600_4,44,0.0927709014130173,-0.19974768884874722,0.03950415577728816,0.0069523783075106545,1.4218750000000004,0.07867464599132994
56,67,600,5,600_5,42,0.0907025912709897,-0.23711688292934122,0.03298380700432674,0.02164688696988466,3.2321428571428577,0.06853771541038456
39,68,400,4,400_4,42,0.1516025240137444,-0.15279184962112244,0.05017697906899228,0.02005557033299937,0.046130952380952384,0.15212238731717942
39,68,400,5,400_5,33,0.0581364337805894,-0.12860098793204147,0.05237969680318617,-0.0009785475196466746,1.303030303030303,0.11449400334181334
39,68,600,4,600_4,46,0.2786090298823008,-0.20869192446872184,0.05110088343861636,-0.017448048044952827,1.1657608695652177,0.13650931603260796
39,68,600,5,600_5,25,0.0472165145544798,-0.23750454209211888,0.05682594287842683,-0.012385850757147288,0.715,0.1414381467948463
