pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio,quantized_ratio_i,quantized_ratio,quantized_ratio_str
20,400,4,20_9,1,0.4805825242718445,1,0.5,1:1
20,400,4,20_9,2,0.4394250513347024,2,0.4285714285714285,3:4
20,400,4,20_90,1,0.5089928057553955,1,0.5,1:1
20,400,4,20_90,2,0.5160680529300566,2,0.5,1:1
20,400,4,20_92,1,0.4944444444444446,1,0.5,1:1
20,400,4,20_92,2,0.6757425742574261,2,0.6666666666666666,2:1
20,400,4,20_94,1,0.469387755102041,1,0.5,1:1
20,400,4,20_94,2,0.334190231362468,2,0.3333333333333333,1:2
20,400,4,20_96,1,0.3769633507853406,1,0.3846153846153846,5:8
20,400,4,20_96,2,0.691860465116279,2,0.7272727272727273,8:3
20,400,5,20_105,1,0.4900849858356939,1,0.5,1:1
20,400,5,20_105,2,0.6545454545454542,2,0.6,3:2
20,400,5,20_105,3,0.2941176470588239,3,0.3333333333333333,1:2
20,400,5,20_107,1,0.730964467005076,1,0.75,3:1
20,400,5,20_107,2,0.2753246753246756,2,0.25,1:3
20,400,5,20_107,3,0.5027027027027025,3,0.5,1:1
20,400,5,20_109,1,0.5088967971530252,1,0.5,1:1
20,400,5,20_109,2,0.3822714681440439,2,0.4,2:3
20,400,5,20_109,3,0.5247058823529416,3,0.5,1:1
20,400,5,20_11,1,0.4285714285714285,1,0.4,2:3
20,400,5,20_11,2,0.5786802030456848,2,0.6,3:2
20,400,5,20_11,3,0.6459143968871593,3,0.6666666666666666,2:1
20,400,5,20_115,1,0.4973913043478259,1,0.5,1:1
20,400,5,20_115,2,0.4332833583208397,2,0.4285714285714285,3:4
20,400,5,20_115,3,0.6737967914438501,3,0.6666666666666666,2:1
20,400,5,20_119,1,0.6989795918367349,1,0.6666666666666666,2:1
20,400,5,20_119,2,0.4386617100371747,2,0.5,1:1
20,400,5,20_119,3,0.3400900900900897,3,0.3333333333333333,1:2
20,400,5,20_121,1,0.3529411764705882,1,0.3333333333333333,1:2
20,400,5,20_121,2,0.5315985130111526,2,0.5454545454545454,6:5
20,400,5,20_121,3,0.5163934426229505,3,0.5,1:1
20,400,5,20_125,1,0.4695340501792108,1,0.4444444444444444,4:5
20,400,5,20_125,2,0.616666666666667,2,0.625,5:3
20,400,5,20_125,3,0.2479784366576818,3,0.25,1:3
20,400,5,20_127,1,0.7481108312342566,1,0.75,3:1
20,400,5,20_127,2,0.3344481605351173,2,0.3333333333333333,1:2
20,400,5,20_127,3,0.6546052631578954,3,0.6666666666666666,2:1
20,400,5,20_129,1,0.5045662100456626,1,0.5,1:1
20,400,5,20_129,2,0.4322709163346613,2,0.4444444444444444,4:5
20,400,5,20_129,3,0.6390134529147979,3,0.625,5:3
20,400,5,20_131,1,0.3976470588235291,1,0.4285714285714285,3:4
20,400,5,20_131,2,0.6881720430107531,2,0.6666666666666666,2:1
20,400,5,20_131,3,0.3195592286501373,3,0.3333333333333333,1:2
20,400,5,20_137,1,0.5384615384615384,1,0.5,1:1
20,400,5,20_137,2,0.6603773584905662,2,0.6666666666666666,2:1
20,400,5,20_137,3,0.4843049327354258,3,0.5,1:1
20,400,5,20_139,1,0.7460732984293191,1,0.75,3:1
20,400,5,20_139,2,0.3368055555555557,2,0.3333333333333333,1:2
20,400,5,20_139,3,0.6586206896551723,3,0.6666666666666666,2:1
20,400,5,20_141,1,0.4947552447552444,1,0.5,1:1
20,400,5,20_141,2,0.4832775919732441,2,0.5,1:1
20,400,5,20_141,3,0.5132890365448506,3,0.5,1:1
20,400,5,20_148,1,0.7520215633423182,1,0.75,3:1
20,400,5,20_148,2,0.2598870056497173,2,0.25,1:3
20,400,5,20_148,3,0.55863539445629,3,0.6,3:2
20,400,5,20_15,1,0.6353467561521252,1,0.6,3:2
20,400,5,20_15,2,0.361419068736142,2,0.4,2:3
20,400,5,20_15,3,0.6127659574468086,3,0.6,3:2
20,400,5,20_154,1,0.5014749262536876,1,0.5555555555555556,5:4
20,400,5,20_154,2,0.381489841986456,2,0.3636363636363636,4:7
20,400,5,20_154,3,0.6555023923444971,3,0.6363636363636364,7:4
20,400,5,20_156,1,0.5256198347107435,1,0.5,1:1
20,400,5,20_156,2,0.7034313725490198,2,0.75,3:1
20,400,5,20_156,3,0.3677811550151973,3,0.3333333333333333,1:2
20,400,5,20_158,1,0.3890109890109892,1,0.4,2:3
20,400,5,20_158,2,0.5018050541516245,2,0.5,1:1
20,400,5,20_158,3,0.4919786096256688,3,0.5,1:1
20,400,5,20_160,1,0.6502890173410406,1,0.6666666666666666,2:1
20,400,5,20_160,2,0.3601190476190477,2,0.3333333333333333,1:2
20,400,5,20_160,3,0.5374999999999998,3,0.5714285714285714,4:3
20,400,5,20_162,1,0.3432432432432428,1,0.3333333333333333,1:2
20,400,5,20_162,2,0.5388026607538807,2,0.5,1:1
20,400,5,20_162,3,0.4837209302325578,3,0.5,1:1
