pp_id,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop_avg,quantized_binary_vs_total_prop_avg,quantized_ternary_vs_total_prop_avg,rhythmic_contours_edit_distance_avg,G_resp_avg
20,2.259284420289855,-0.1445273025058254,0.8455407586763519,0.21531551932367146,0.0663496376811594,0.4187047101449275,0.025104238927193274
21,3.5076889180150053,0.009951811594484147,0.8316878254234246,0.3869849916045568,0.08329036318166749,0.5846746526094352,0.056187311775797374
22,3.6780277471066944,-0.02225863932118905,0.677750769856033,0.21582474543000854,0.10311746002535473,0.8219799206641312,0.06498699496313992
23,3.235451914971847,-0.18455890299560695,0.9490840517241379,0.264917314182637,0.017665915984925076,0.5539567984776448,0.02738999244045915
24,2.5337291769750947,-0.12752335175884547,0.9285714285714286,0.20903430644895263,0.0293927648578811,0.5801390950574523,0.039812293990508146
25,2.742494323437894,-0.10896222225528082,0.9603475400457666,0.2672486894850447,0.0131752305665349,0.5881654192246236,0.021827379882123975
26,2.2519917582417586,-0.10214103357750515,0.8839955022488756,0.1904036935286935,0.04375,0.6298992673992674,0.020615892216487373
27,3.1434136515658255,-0.0452248347814361,0.8291608391608392,0.2817577953447518,0.06524167257862908,0.5156139150704369,0.0462029954318232
28,2.770442333401892,-0.11406503976384465,0.8136675824175824,0.2680995475113122,0.05848180618401205,0.46964019436445903,0.05712455208999895
29,2.9099883855981417,-0.14342990253038645,0.8735221674876847,0.254161827332559,0.04408633372048003,0.8931475029036005,0.07156742256186485
30,3.0862789666831603,-0.14561141734406902,0.9520933014354067,0.3046333807521029,0.017118433531255126,0.48297820798284674,0.08705172798465782
31,3.069448415701885,-0.08525223269424348,0.8342592592592593,0.2437811276502303,0.05858410656051725,0.45202043562358085,0.02739817585101055
32,3.4027241739512895,-0.0020934390734464008,0.8343496621621622,0.2691173236571554,0.06347930067623285,0.4336549562922645,0.023275374174623477
33,3.7478383458646616,0.06069208745591376,0.8281349206349207,0.2790100250626566,0.06533521303258143,0.6863251879699248,0.08400830999209699
34,2.8883526383526386,0.017136481866848352,0.8683725988457232,0.3148541398541398,0.04725439725439723,0.4843951093951094,0.039612694935443525
35,2.706076290414067,-0.050987442863799526,0.9049232158988256,0.2040844730152728,0.03305340223944872,0.6163420936534947,0.034749328486638975
36,3.1531070673512533,-0.03148246914385945,0.870902770113674,0.2731436038122084,0.0448599365750528,0.5226454746803584,0.019895920486995747
37,3.421135265700483,-0.0005077077651783994,0.7908496732026143,0.23899456521739126,0.07544535024154587,0.44154589371980674,0.0441274892788764
38,3.7023809523809526,-0.0034882795272323987,0.7233496392609355,0.23769841269841266,0.10059523809523804,0.5876984126984127,0.018998685330935024
