pp_id,stim_tempo_intended,length,G_stim,G_resp,G_diff,rhythmic_contours_edit_distance_sum,silhouette,tempo_diff_avg,tempo_diff_sd,tempo_diff_avg_abs,ratio_diff_avg_abs,entropy_diff_avg,preference_binary_D,preference_ternary_D
20,400,4,0.0129253195904197,0.0058232662169831,-0.0071020533734366,27,0.5858591206801228,12.738040944562675,37.48795008239172,30.654327556501517,0.02542381224067227,-0.04018244524985189,0.447,0.237
20,400,5,0.0001391667274251,0.0006960487049296,0.0005568819775044,76,0.5858591206801228,12.56392045454548,43.14630515124742,34.91304983737906,0.028965387515503222,-0.0821483651879341,0.424,0.227
20,600,4,0.000926992699832,0.0567914717802945,0.0558644790804624,48,0.5717792877607373,-7.67045454545451,57.80451508547405,46.3352272727273,0.025291065372762923,-0.0879173563906442,0.156,0.269
20,600,5,0.0069236234231032,0.0359915427804836,0.0290679193573804,144,0.5717792877607373,-12.02769886363634,68.42787479727996,53.702521368792645,0.03476147105320187,-0.07588355117258962,0.143,0.318
21,400,4,0.0112868500189974,0.0740301732809508,0.0627433232619534,36,0.5835447142349824,31.993006993007008,104.41471823150219,79.37062937062933,0.06198335705629714,0.023697339506322912,0.596,0.415
21,400,5,0.007897406896238,0.0326292955390026,0.0247318886427645,84,0.5835447142349824,29.037724957227603,112.04008466392555,84.9101537877716,0.0752156262262366,-0.059736583178945216,0.579,0.388
21,600,4,0.0100020052103919,0.0593970815475339,0.049395076337142,87,0.5469209243986012,-11.23225259588892,134.3718797097377,97.41470650561564,0.07676886087932602,-0.039434692203702784,0.451,0.241
21,600,5,0.0003788882280805,0.0586926967357019,0.0583138085076214,148,0.5469209243986012,-37.81534543592079,144.60357866057015,114.00129726010385,0.07791862010491193,-0.06880488761006939,0.351,0.186
22,400,4,0.0208253134081002,0.0516202197806829,0.0307949063725827,33,0.5558721794873298,-0.49257759784071165,121.6201133905274,83.65721997300946,0.06585160474419337,0.012160476851928862,0.571,0.374
22,400,5,0.0001111558713674,0.024257252405586,0.0241460965342186,116,0.5558721794873298,23.249769229659638,157.90765824860188,108.11467843595398,0.10628545654786156,-0.01050223000848402,0.495,0.288
22,600,4,0.0044619700808889,0.0782767122371906,0.0738147421563016,96,0.5408972396077094,-52.9636104636105,162.62736543927915,128.07821807821816,0.0859366818152945,-0.025672117798516487,0.374,0.19
22,600,5,0.0090395135539921,0.0933219621195502,0.0842824485655581,192,0.5408972396077094,-61.4185247562211,193.11677388257888,150.21038516457364,0.09152290670644292,-0.1099921825461746,0.396,0.215
23,400,4,0.0024363678885284,0.0067430025764361,0.0043066346879077,51,0.6009707383236224,3.9784128914563266,60.355597933492106,47.31478666261276,0.038168210302281715,-0.08415654371538892,0.398,0.187
23,400,5,0.0006628005204887,0.0011453327932934,0.0004825322728047,100,0.6009707383236224,11.744218121240976,82.89875295352654,59.77443100687992,0.05186356548915103,-0.007876672506363015,0.346,0.162
23,600,4,0.0014995670193598,0.0084141579410184,0.0069145909216585,72,0.5723567764292968,-42.59844765163919,95.75587596702347,77.02239250111589,0.040474812024271056,-0.12169347856172504,0.17,0.224
23,600,5,0.0037084783441724,0.0925323399205918,0.0888238615764194,132,0.5723567764292968,-42.62453925594676,117.2633461555276,97.5692222972449,0.056811080206614316,-0.13199975535862096,0.248,0.114
24,400,4,0.007755241065249,0.0143288911407757,0.0065736500755266,39,0.6050147495220286,-18.740481740481787,52.733780045007634,39.437192437192465,0.03469110069395255,-0.12710207760891282,0.346,0.174
24,400,5,0.0028328970224424,0.0264111650759221,0.0235782680534796,100,0.6050147495220286,-21.127224854166816,78.75227218028238,57.19974845865201,0.051092549070121535,-0.1431017466660886,0.318,0.17
24,600,4,0.0027800364186865,0.0923665794615744,0.0895865430428879,93,0.5498107759870461,-57.84245895948023,97.09907570623015,81.49246143926999,0.04315844253583891,-0.04915937450779753,0.103,0.351
24,600,5,0.0004089390500188,0.0261425402837605,0.0257336012337416,136,0.5498107759870461,-61.13516680871791,95.14754572639907,88.23859485516311,0.04176408842679383,-0.11892219385585796,0.131,0.333
25,400,4,0.0043526683926209,0.022856087097138,0.0185034187045171,51,0.5868738065423862,-9.444797626615783,58.379398066790166,42.03936215299854,0.037880559648467045,-0.0879818411569975,0.471,0.245
25,400,5,0.0043640592386796,0.0326963433812547,0.028332284142575,92,0.5868738065423862,-2.034339708363966,71.16687196388399,52.9714611007745,0.046248997546406656,-0.12112308841228926,0.331,0.176
25,600,4,0.0170941252353036,0.0187753115474162,0.0016811863121126,84,0.5702746711390679,-44.16703863512374,82.57515451743478,72.23900213261916,0.04349386644117276,-0.06641320889537901,0.184,0.203
25,600,5,0.0087441951237264,0.0100579415579296,0.0013137464342031,156,0.5702746711390679,-49.14958327297556,98.69512947814941,81.36578984127642,0.04710196062650416,-0.007534208484347235,0.227,0.138
26,400,4,0.0032334006024282,0.0160292543168745,0.0127958537144462,60,0.570548699717674,23.60270979020981,64.88129030343711,47.99723193473198,0.034177820229735326,-0.05493061443340549,0.419,0.206
26,400,5,0.0018189164337124,0.0101922072542093,0.0083732908204968,72,0.570548699717674,32.4566501070919,62.61231055934187,48.332810268919566,0.035169109227629156,-0.10184833912404934,0.465,0.259
26,600,4,0.0020472722564959,0.0609873252536868,0.0589400529971909,75,0.5708613573205094,28.947025197025177,84.94278267161636,65.30982905982901,0.04062789477045962,-0.06331720708832181,0.204,0.178
26,600,5,0.0125501259638032,0.0367601446278058,0.0242100186640026,152,0.5708613573205094,4.728090408718712,116.08087756676323,86.49757746616386,0.0595659225470191,-0.14000584425850934,0.136,0.302
