pp_id,stim_tempo_intended,length,n_maxima,maximum_i,maximum_location
46,600,5,2,1,0.521
47,400,4,2,0,0.487
47,400,4,2,1,0.665
47,400,5,2,0,0.481
47,400,5,2,1,0.664
47,600,4,2,0,0.37
47,600,4,2,1,0.514
47,600,5,1,0,0.507
48,400,4,2,0,0.336
48,400,4,2,1,0.51
48,400,5,2,0,0.332
48,400,5,2,1,0.513
48,600,4,2,0,0.42
48,600,4,2,1,0.5630000000000001
48,600,5,2,0,0.389
48,600,5,2,1,0.529
49,400,4,2,0,0.47600000000000003
49,400,4,2,1,0.668
49,400,5,2,0,0.484
49,400,5,2,1,0.612
49,600,4,2,0,0.46900000000000003
49,600,4,2,1,0.628
49,600,5,2,0,0.47400000000000003
49,600,5,2,1,0.63
50,400,4,2,0,0.442
50,400,4,2,1,0.7000000000000001
50,400,5,2,0,0.47700000000000004
50,400,5,2,1,0.72
50,600,4,2,0,0.47900000000000004
50,600,4,2,1,0.7010000000000001
50,600,5,2,0,0.497
50,600,5,2,1,0.7000000000000001
51,400,4,2,0,0.43
51,400,4,2,1,0.677
51,400,5,2,0,0.441
51,400,5,2,1,0.655
51,600,4,2,0,0.427
51,600,4,2,1,0.611
51,600,5,1,0,0.45
52,400,4,1,0,0.498
52,400,5,2,0,0.459
52,400,5,2,1,0.655
52,600,4,1,0,0.501
52,600,5,2,0,0.47400000000000003
52,600,5,2,1,0.656
53,400,4,2,0,0.506
53,400,4,2,1,0.677
53,400,5,2,0,0.5
53,400,5,2,1,0.644
53,600,4,1,0,0.5
53,600,5,1,0,0.49
54,400,4,2,0,0.491
54,400,4,2,1,0.66
54,400,5,2,0,0.484
54,400,5,2,1,0.664
54,600,4,2,0,0.498
54,600,4,2,1,0.654
54,600,5,2,0,0.492
54,600,5,2,1,0.633
55,400,4,2,0,0.438
55,400,4,2,1,0.67
55,400,5,2,0,0.49
55,400,5,2,1,0.705
55,600,4,1,0,0.497
55,600,5,2,0,0.494
55,600,5,2,1,0.67
56,400,4,3,0,0.317
56,400,4,3,1,0.514
56,400,4,3,2,0.672
56,400,5,3,0,0.343
56,400,5,3,1,0.463
56,400,5,3,2,0.707
56,600,4,2,0,0.336
56,600,4,2,1,0.501
56,600,5,3,0,0.34700000000000003
56,600,5,3,1,0.498
56,600,5,3,2,0.661
57,400,4,2,0,0.493
57,400,4,2,1,0.652
57,400,5,2,0,0.486
57,400,5,2,1,0.678
57,600,4,2,0,0.495
57,600,4,2,1,0.617
57,600,5,2,0,0.484
57,600,5,2,1,0.639
58,400,4,2,0,0.278
58,400,4,2,1,0.509
58,400,5,2,0,0.488
58,400,5,2,1,0.6900000000000001
58,600,4,1,0,0.509
58,600,5,2,0,0.355
58,600,5,2,1,0.509
59,400,4,1,0,0.487
59,400,5,1,0,0.504
59,600,4,1,0,0.502
59,600,5,1,0,0.503
60,400,4,1,0,0.533
60,400,5,2,0,0.278
60,400,5,2,1,0.528
60,600,4,1,0,0.512
60,600,5,2,0,0.356
