"","pp_id","age","gender","L1","handedness","musical_experience","stim_id","sequence_id","length","n_resp","stim_tempo_intended","stim_tempo","stim_sd","interval_i","stim_ioi","resp_iti","ioi_iti_diff"
"1",1,22,"F","Danish","right",1,1,"1_1",5,5,600,658.900523560209,131.360411416695,1,522.774869109948,488.863636363636,33.9112327463112
"2",1,22,"F","Danish","right",1,1,"1_1",5,5,600,658.900523560209,131.360411416695,2,656.282722513089,758.863636363636,102.580913850548
"3",1,22,"F","Danish","right",1,1,"1_1",5,5,600,658.900523560209,131.360411416695,3,836.910994764398,787.5,49.4109947643979
"4",1,22,"F","Danish","right",1,1,"1_1",5,5,600,658.900523560209,131.360411416695,4,619.633507853403,507.272727272727,112.360780580676
"5",1,22,"F","Danish","right",1,2,"1_2",4,4,400,493.822843822844,146.950239853409,1,625.524475524476,411.136363636364,214.388111888112
"6",1,22,"F","Danish","right",1,2,"1_2",4,4,400,493.822843822844,146.950239853409,2,335.314685314685,760.909090909091,425.594405594405
"7",1,22,"F","Danish","right",1,2,"1_2",4,4,400,493.822843822844,146.950239853409,3,520.629370629371,288.409090909091,232.22027972028
"8",1,22,"F","Danish","right",1,3,"1_3",5,5,600,597.38219895288,200.057784293357,1,651.047120418848,505.227272727273,145.819847691575
"9",1,22,"F","Danish","right",1,3,"1_3",5,5,600,597.38219895288,200.057784293357,2,528.010471204188,734.318181818182,206.307710613993
"10",1,22,"F","Danish","right",1,3,"1_3",5,5,600,597.38219895288,200.057784293357,3,842.146596858639,765,77.1465968586388
"11",1,22,"F","Danish","right",1,3,"1_3",5,5,600,597.38219895288,200.057784293357,4,368.324607329843,480.681818181818,112.357210851976
"12",1,22,"F","Danish","right",1,4,"1_4",5,5,400,519.764397905759,85.3733648352808,1,398.69109947644,392.727272727273,5.96382674916703
"13",1,22,"F","Danish","right",1,4,"1_4",5,5,400,519.764397905759,85.3733648352808,2,526.96335078534,460.227272727273,66.7360780580675
"14",1,22,"F","Danish","right",1,4,"1_4",5,5,400,519.764397905759,85.3733648352808,3,558.376963350785,468.409090909091,89.9678724416945
"15",1,22,"F","Danish","right",1,4,"1_4",5,5,400,519.764397905759,85.3733648352808,4,595.026178010471,615.681818181818,20.6556401713474
"16",1,22,"F","Danish","right",1,5,"1_5",4,4,600,492.191142191142,53.4099731346834,1,433.916083916084,409.090909090909,24.8251748251747
"17",1,22,"F","Danish","right",1,5,"1_5",4,4,600,492.191142191142,53.4099731346834,2,538.811188811189,499.090909090909,39.7202797202798
"18",1,22,"F","Danish","right",1,5,"1_5",4,4,600,492.191142191142,53.4099731346834,3,503.846153846154,529.772727272727,25.9265734265737
