,pp_id,tempo,G
0,1,400 ms,0.11433167923004839
1,10,400 ms,0.023056912882148395
2,11,400 ms,0.027134887351478842
3,12,400 ms,0.04102514743575869
4,2,400 ms,0.03592441626366705
5,3,400 ms,0.01053778627218116
6,4,400 ms,0.021971638489317935
7,5,400 ms,0.046490714520541654
8,7,400 ms,0.044768519229784975
9,8,400 ms,0.058368131280598146
10,9,400 ms,0.01208484129932108
11,1,600 ms,0.2129120806566146
12,10,600 ms,0.058798664724586724
13,11,600 ms,0.03434327966309769
14,12,600 ms,0.02181482107650823
15,2,600 ms,0.08293613077774864
16,3,600 ms,0.04020983034456882
17,4,600 ms,0.018073322370021794
18,5,600 ms,0.07369073430082196
19,7,600 ms,0.054398956332862736
20,8,600 ms,0.060886052661304424
21,9,600 ms,0.01978219412629989
