pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
39,1,5,400,"[0.0, 411.78010471204186, 998.9528795811517, 1460.4712041884816, 1775.392670157068]","[517.4999999999999, 675.0, 691.3636363636365]"
39,2,4,600,"[0.0, 500.34965034965035, 1109.090909090909, 1462.5874125874125]","[339.5454545454545, 670.9090909090908, 542.045454545455]"
39,3,5,400,"[0.0, 348.9528795811518, 611.5183246073298, 1190.8376963350784, 1513.6125654450261]","[253.63636363636363, 325.22727272727275, 501.1363636363635, 593.1818181818182]"
39,4,4,600,"[0.0, 577.2727272727273, 1336.3636363636365, 1864.6853146853148]","[544.0909090909091, 531.8181818181818, 445.909090909091]"
39,5,4,400,"[0.0, 272.3776223776224, 628.6713286713286, 908.041958041958]","[278.18181818181813, 411.13636363636374, 278.181818181818]"
39,6,5,600,"[0.0, 721.7277486910995, 1239.2670157068064, 1646.8586387434557, 2180.1047120418853]","[697.5000000000001, 672.9545454545453, 325.227272727273]"
39,7,5,400,"[0.0, 356.80628272251306, 954.4502617801047, 1180.3664921465968, 1770.1570680628272]","[317.0454545454545, 517.5, 186.13636363636374, 407.0454545454545]"
39,8,5,600,"[0.0, 776.7015706806283, 1333.5078534031413, 1924.34554973822, 2517.801047120419]","[634.090909090909, 525.6818181818182, 523.6363636363637, 527.7272727272725]"
39,9,5,400,"[0.0, 435.34031413612564, 765.9685863874345, 1052.0942408376964, 1563.3507853403141]","[482.72727272727275, 315.0, 267.9545454545455, 445.909090909091]"
39,10,4,600,"[0.0, 584.2657342657343, 1367.832167832168, 2039.5104895104896]","[560.4545454545455, 773.1818181818182, 349.772727272727]"
39,11,4,400,"[0.0, 478.6713286713287, 688.1118881118881, 848.6013986013986]","[580.909090909091, 186.1363636363635, 169.77272727272725]"
39,12,5,600,"[0.0, 808.1151832460732, 1498.4293193717276, 1869.371727748691, 2507.329842931937]","[652.5, 249.5454545454545, 278.18181818181824, 597.2727272727275]"
39,13,4,400,"[0.0, 436.7132867132867, 1016.7832167832167, 1477.972027972028]","[582.9545454545455, 523.6363636363635, 527.727272727273]"
39,14,5,600,"[0.0, 546.3350785340314, 1283.7696335078533, 1743.717277486911, 2486.387434554974]","[642.2727272727271, 695.4545454545455, 505.22727272727275]"
39,15,5,400,"[0.0, 521.7277486910995, 886.3874345549738, 1450.0, 2021.4659685863874]","[535.909090909091, 548.181818181818, 548.1818181818185, 478.6363636363635]"
39,16,5,600,"[0.0, 397.12041884816756, 1131.937172774869, 1481.937172774869, 1957.591623036649]","[507.27272727272737, 533.8636363636363, 249.5454545454545, 398.8636363636365]"
39,17,5,400,"[0.0, 566.2303664921466, 1038.219895287958, 1588.743455497382, 2225.65445026178]","[535.909090909091, 634.090909090909, 503.18181818181824, 544.090909090909]"
39,18,5,600,"[0.0, 538.4816753926701, 1021.9895287958115, 1484.5549738219895, 2240.3141361256544]","[484.77272727272725, 429.5454545454545, 398.86363636363626, 429.5454545454545]"
39,19,4,400,"[0.0, 468.1818181818182, 761.5384615384615, 1320.6293706293707]","[554.3181818181818, 241.3636363636365, 433.6363636363635, 468.409090909091]"
39,20,4,600,"[0.0, 790.5594405594406, 1252.4475524475524, 1675.8741258741259]","[613.6363636363637, 243.40909090909076, 468.409090909091]"
39,21,4,400,"[0.0, 310.83916083916085, 782.5174825174826, 1072.3776223776224]","[554.3181818181818, 284.31818181818187, 454.090909090909, 243.409090909091]"
39,22,5,600,"[0.0, 373.5602094240838, 799.4764397905759, 1238.4816753926702, 1769.109947643979]","[910.2272727272727, 388.63636363636374, 353.86363636363626, 345.681818181818]"
39,23,5,400,"[0.0, 495.5497382198953, 705.7591623036649, 884.5549738219895, 1408.9005235602094]","[419.31818181818176, 186.1363636363635, 196.3636363636365, 366.1363636363635]"
39,24,4,600,"[0.0, 741.6083916083917, 1392.3076923076924, 1980.0699300699303]","[495.0000000000001, 501.1363636363635, 597.2727272727275]"
39,25,4,400,"[0.0, 314.3356643356643, 789.5104895104895, 960.4895104895105]","[212.72727272727263, 441.818181818182]"
39,26,4,600,"[0.0, 486.3636363636364, 1332.867132867133, 2109.44055944056]","[384.5454545454545, 570.6818181818182, 670.909090909091]"
39,27,5,400,"[0.0, 320.1570680628272, 572.2513089005236, 1036.3874345549739, 1424.607329842932]","[241.36363636363637, 454.09090909090924, 501.13636363636374]"
39,28,5,600,"[0.0, 601.3089005235602, 1090.0523560209424, 1733.2460732984293, 2431.413612565445]","[527.7272727272727, 558.409090909091, 554.3181818181815]"
39,29,4,400,"[0.0, 464.6853146853147, 1030.769230769231, 1446.5034965034968]","[415.22727272727263, 405.0, 400.909090909091]"
39,30,4,600,"[0.0, 643.7062937062938, 1203.4965034965035, 1654.8951048951049]","[355.9090909090909, 357.9545454545455, 468.40909090909076]"
39,31,4,400,"[0.0, 601.048951048951, 1051.7482517482517, 1422.027972027972]","[405.0, 409.090909090909, 472.5]"
39,32,4,600,"[0.0, 374.4755244755245, 755.9440559440559, 1305.2447552447552]","[372.2727272727275, 672.9545454545453, 542.0454545454545]"
39,33,4,400,"[0.0, 492.65734265734267, 915.3846153846155, 1303.1468531468531]","[517.5, 472.5, 490.909090909091]"
39,34,5,600,"[0.0, 766.2303664921466, 1412.0418848167537, 1903.4031413612563, 2653.9267015706805]","[548.181818181818, 630.0000000000002, 433.6363636363635, 607.5]"
39,35,5,400,"[0.0, 414.3979057591623, 713.6125654450261, 1261.5183246073298, 1568.586387434555]","[333.4090909090909, 501.1363636363635, 286.3636363636365, 640.2272727272727]"
39,36,4,600,"[0.0, 689.1608391608393, 1413.2867132867134, 2144.4055944055945]","[601.3636363636364, 621.8181818181818, 507.2727272727275]"
39,37,5,400,"[0.0, 215.44502617801047, 569.6335078534031, 1036.3874345549739, 1513.6125654450261]","[206.59090909090924, 417.27272727272725, 235.22727272727275, 400.909090909091]"
39,38,4,600,"[0.0, 626.2237762237762, 1105.5944055944055, 1861.188811188811]","[495.0, 466.36363636363626, 619.7727272727273]"
39,39,5,400,"[0.0, 328.01047120418843, 498.9528795811518, 1130.6282722513088, 1686.3874345549737]","[265.9090909090909, 478.63636363636374, 196.36363636363626, 456.13636363636374]"
39,40,4,600,"[0.0, 447.9020979020979, 1182.5174825174827, 1896.1538461538462]","[274.0909090909091, 476.590909090909, 1010.4545454545455, 1487.0454545454545]"
39,41,5,400,"[0.0, 239.00523560209422, 496.33507853403137, 664.6596858638743, 1304.1884816753927]","[216.81818181818176, 413.18181818181824, 190.22727272727275, 345.681818181818]"
39,42,4,600,"[0.0, 678.6713286713286, 1189.5104895104896, 1693.3566433566434]","[556.3636363636365, 519.5454545454547, 484.772727272727]"
39,43,5,400,"[0.0, 199.73821989528795, 532.9842931937173, 769.3717277486912, 1079.0575916230368]","[218.8636363636365, 386.590909090909, 212.72727272727275, 349.772727272727]"
39,44,5,600,"[0.0, 381.413612565445, 964.3979057591623, 1618.0628272251308, 2334.5549738219897]","[276.1363636363635, 503.18181818181824, 227.0454545454545, 454.090909090909, 480.68181818181847]"
39,45,5,400,"[0.0, 453.6649214659686, 941.3612565445026, 1374.083769633508, 1817.2774869109949]","[611.5909090909092, 542.0454545454543, 517.5, 523.636363636364]"
