pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
31,1,4,400,"[0.0, 576.5734265734266, 1100.6993006993007, 1551.3986013986014]","[562.5, 445.909090909091, 648.409090909091]"
31,2,5,600,"[0.0, 577.7486910994764, 1218.3246073298428, 2042.1465968586385, 2714.13612565445]","[445.90909090909076, 642.2727272727275, 664.7727272727273, 550.2272727272725]"
31,3,5,400,"[0.0, 254.71204188481676, 572.2513089005236, 921.2041884816754, 1403.6649214659685]","[218.86363636363637, 427.5000000000001, 593.181818181818]"
31,4,4,600,"[0.0, 850.0, 1297.902097902098, 1955.5944055944055]","[695.4545454545455, 335.4545454545455, 793.6363636363635]"
31,5,5,400,"[0.0, 424.86910994764395, 690.0523560209424, 926.4397905759163, 1118.324607329843]","[683.1818181818181, 284.31818181818176, 280.22727272727275]"
31,6,5,600,"[0.0, 643.1937172774869, 1383.2460732984293, 2141.6230366492146, 2612.0418848167537]","[730.2272727272727, 810.0, 540.0, 296.590909090909]"
31,7,4,400,"[0.0, 569.5804195804196, 953.8461538461539, 1173.7762237762238]","[607.5000000000001, 357.95454545454527, 243.409090909091]"
31,8,5,600,"[0.0, 533.2460732984293, 1362.303664921466, 1947.9057591623036, 2711.5183246073298]","[601.3636363636365, 899.9999999999998, 501.13636363636397, 580.9090909090905]"
31,9,5,400,"[0.0, 553.1413612565445, 975.3926701570681, 1290.3141361256544, 1775.392670157068]","[574.7727272727273, 470.4545454545455, 411.13636363636374, 855.0]"
31,10,5,600,"[0.0, 543.7172774869109, 1197.3821989528794, 1971.4659685863871, 2635.6020942408377]","[709.7727272727271, 267.9545454545455, 1010.4545454545457, 805.9090909090905]"
31,11,4,400,"[0.0, 156.993006993007, 502.79720279720283, 701.7482517482517]","[188.18181818181824, 339.5454545454545, 206.590909090909]"
31,12,4,600,"[0.0, 776.5734265734266, 1297.902097902098, 1941.6083916083917]","[683.1818181818181, 492.9545454545455, 717.9545454545457]"
