pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
32,1,4,400,"[0.0, 272.3776223776224, 432.8671328671329, 1065.3846153846155]","[192.27272727272725, 153.409090909091, 744.5454545454545]"
32,2,5,600,"[0.0, 575.130890052356, 1396.3350785340313, 1887.6963350785338, 2541.3612565445023]","[570.6818181818182, 912.2727272727273, 439.7727272727275, 656.590909090909]"
32,3,5,400,"[0.0, 506.0209424083769, 1145.5497382198953, 1609.6858638743456, 1942.931937172775]","[595.2272727272729, 713.8636363636363, 364.090909090909, 249.5454545454545]"
32,4,4,600,"[0.0, 657.6923076923077, 1137.0629370629372, 1875.1748251748254]","[591.1363636363636, 370.22727272727275, 642.2727272727273]"
32,5,4,400,"[0.0, 240.9090909090909, 712.5874125874126, 1086.3636363636365]","[235.22727272727275, 531.8181818181818, 433.6363636363635]"
32,6,4,600,"[0.0, 755.5944055944055, 1577.6223776223776, 2025.5244755244755]","[738.4090909090909, 834.5454545454547, 382.5]"
32,7,4,400,"[0.0, 625.5244755244755, 796.5034965034965, 1149.3006993006993]","[619.7727272727273, 194.31818181818176, 392.7272727272725]"
32,8,5,600,"[0.0, 609.1623036649214, 1050.7853403141362, 1853.6649214659687, 2669.633507853403]","[687.2727272727273, 486.81818181818176, 765.0, 689.318181818182]"
32,9,5,400,"[0.0, 532.1989528795812, 800.0, 1347.9057591623036, 1990.0523560209424]","[617.7272727272729, 280.22727272727275, 582.9545454545453, 656.590909090909]"
32,10,4,600,"[0.0, 454.8951048951049, 1287.4125874125875, 2081.4685314685316]","[503.18181818181824, 818.1818181818182, 783.409090909091]"
32,11,5,400,"[0.0, 170.94240837696336, 705.7591623036649, 1313.874345549738, 1712.565445026178]","[186.13636363636363, 443.8636363636365, 793.6363636363637, 411.1363636363635, 807.9545454545455]"
32,12,5,600,"[0.0, 580.3664921465968, 1037.696335078534, 1636.3874345549739, 2282.198952879581]","[803.8636363636364, 427.5, 662.7272727272725, 914.318181818182]"
32,13,5,400,"[0.0, 401.30890052356017, 697.9057591623036, 892.4083769633507, 1139.2670157068062]","[480.68181818181824, 208.6363636363635, 317.0454545454545, 398.8636363636365]"
32,14,5,600,"[0.0, 483.5078534031413, 927.7486910994764, 1453.1413612565445, 2229.8429319371726]","[640.2272727272726, 523.6363636363637, 503.181818181818, 740.4545454545455]"
32,15,4,400,"[0.0, 524.1258741258741, 1034.2657342657344, 1366.0839160839162]","[552.2727272727273, 619.7727272727275, 323.181818181818]"
32,16,4,600,"[0.0, 692.6573426573427, 1343.3566433566434, 1826.2237762237764]","[724.0909090909091, 748.6363636363635, 429.5454545454545]"
32,17,4,400,"[0.0, 408.7412587412588, 897.9020979020979, 1219.2307692307693]","[454.0909090909091, 650.4545454545455, 374.31818181818176]"
32,18,4,600,"[0.0, 808.0419580419581, 1535.6643356643358, 2102.447552447553]","[879.5454545454546, 797.7272727272725, 415.227272727273]"
32,19,4,400,"[0.0, 314.3356643356643, 663.6363636363636, 1194.7552447552448]","[325.22727272727275, 325.22727272727275, 683.1818181818182]"
32,20,4,600,"[0.0, 412.93706293706293, 801.3986013986014, 1640.909090909091]","[411.1363636363635, 382.5, 746.590909090909]"
32,21,5,400,"[0.0, 173.56020942408378, 650.7853403141362, 960.4712041884817, 1115.7068062827225]","[180.0000000000001, 378.40909090909076, 382.5]"
32,22,5,600,"[0.0, 533.2460732984293, 898.9528795811518, 1371.9895287958116, 2080.6282722513088]","[587.0454545454545, 310.909090909091, 519.5454545454545, 558.409090909091]"
32,23,5,400,"[0.0, 178.7958115183246, 383.7696335078534, 638.4816753926702, 1055.497382198953]","[202.5, 184.09090909090912, 370.22727272727275, 609.5454545454545]"
32,24,4,600,"[0.0, 580.7692307692307, 1000.6993006993007, 1710.8391608391607]","[679.090909090909, 382.5, 572.7272727272727]"
32,25,4,400,"[0.0, 223.42657342657344, 481.81818181818187, 1061.8881118881118]","[222.9545454545455, 239.31818181818176, 609.5454545454545]"
32,26,5,600,"[0.0, 611.7801047120419, 1019.371727748691, 1675.6544502617799, 2431.413612565445]","[750.6818181818181, 343.63636363636374, 572.7272727272725, 722.0454545454545]"
32,27,4,400,"[0.0, 548.6013986013986, 813.986013986014, 1453.4965034965035]","[630.0, 265.909090909091, 660.681818181818]"
32,28,4,600,"[0.0, 671.6783216783217, 1172.027972027972, 1983.5664335664337]","[789.5454545454546, 533.8636363636363, 715.909090909091]"
32,29,4,400,"[0.0, 429.72027972027973, 747.5524475524476, 1058.3916083916083]","[607.5, 310.909090909091, 366.1363636363635]"
32,30,5,600,"[0.0, 800.261780104712, 1448.6910994764398, 2220.1570680628274, 3007.3298429319375]","[752.7272727272726, 754.7727272727273, 715.909090909091, 963.4090909090905]"
32,31,4,400,"[0.0, 636.013986013986, 1244.055944055944, 1600.3496503496503]","[748.6363636363637, 720.0, 392.7272727272725]"
32,32,4,600,"[0.0, 780.06993006993, 1248.951048951049, 2095.4545454545455]","[814.090909090909, 472.5000000000002, 769.090909090909]"
32,33,4,400,"[0.0, 583.5664335664336, 796.5034965034965, 960.4895104895105]","[674.9999999999999, 190.22727272727275, 192.27272727272725]"
32,34,5,600,"[0.0, 658.9005235602094, 1231.413612565445, 1686.1256544502617, 2256.020942408377]","[736.3636363636364, 717.9545454545455, 454.090909090909, 822.2727272727275]"
32,35,5,400,"[0.0, 529.5811518324607, 1121.9895287958116, 1324.34554973822, 1576.4397905759163]","[597.2727272727274, 818.1818181818182, 233.18181818181802, 227.0454545454545]"
32,36,5,600,"[0.0, 368.32460732984293, 799.4764397905759, 1523.8219895287957, 2266.492146596858]","[357.9545454545455, 398.86363636363626, 779.3181818181818, 756.818181818182]"
32,37,4,400,"[0.0, 454.1958041958042, 936.3636363636364, 1320.6293706293707]","[617.7272727272727, 677.0454545454545, 380.4545454545455]"
32,38,4,600,"[0.0, 461.8881118881119, 1021.6783216783217, 1382.1678321678323]","[605.4545454545455, 787.5, 423.40909090909076]"
32,39,4,400,"[0.0, 156.993006993007, 607.6923076923076, 757.6923076923076]","[173.86363636363626, 564.5454545454547, 186.1363636363635]"
32,40,4,600,"[0.0, 664.6853146853148, 1179.0209790209792, 1728.3216783216785]","[775.2272727272729, 783.4090909090908, 492.9545454545455]"
32,41,5,400,"[0.0, 427.4869109947644, 710.9947643979058, 1015.4450261780105, 1448.1675392670159]","[668.8636363636364, 265.909090909091, 315.0, 566.5909090909088]"
32,42,5,600,"[0.0, 418.0628272251309, 1105.7591623036649, 1565.7068062827225, 2415.7068062827225]","[492.9545454545455, 750.6818181818182, 409.09090909090924, 791.590909090909]"
32,43,4,400,"[0.0, 261.8881118881119, 681.1188811188811, 1159.7902097902097]","[306.81818181818187, 591.1363636363635, 597.2727272727273]"
32,44,4,600,"[0.0, 377.97202797202794, 993.7062937062938, 1550.0]","[357.9545454545455, 683.181818181818, 640.227272727273]"
32,45,5,400,"[0.0, 354.18848167539267, 792.1465968586388, 1316.4921465968587, 1505.7591623036649]","[411.1363636363636, 441.818181818182, 666.8181818181818, 180.0]"
32,46,4,600,"[0.0, 496.8531468531469, 1266.4335664335665, 2056.993006993007]","[546.1363636363636, 795.6818181818182, 638.1818181818182]"
32,47,4,400,"[0.0, 233.91608391608392, 649.6503496503497, 1009.4405594405595]","[231.13636363636363, 515.4545454545455, 431.590909090909]"
32,48,5,600,"[0.0, 745.2879581151833, 1427.7486910994764, 1848.4293193717276, 2622.5130890052355]","[687.2727272727274, 736.3636363636365, 402.95454545454504, 646.3636363636365]"
32,49,4,600,"[0.0, 647.2027972027972, 1248.951048951049, 1819.2307692307693]","[705.6818181818182, 685.2272727272725, 511.3636363636365]"
32,50,4,400,"[0.0, 191.95804195804197, 730.06993006993, 1096.8531468531469]","[198.40909090909088, 636.1363636363636, 417.27272727272725]"
32,51,5,600,"[0.0, 711.2565445026178, 1375.392670157068, 2094.502617801047, 2907.853403141361]","[828.409090909091, 754.772727272727, 636.136363636364, 879.5454545454545]"
32,52,4,400,"[0.0, 251.3986013986014, 621.6783216783217, 859.0909090909091]","[220.909090909091, 490.90909090909076, 225.0]"
32,53,5,600,"[0.0, 551.5706806282723, 1273.2984293193717, 1722.7748691099478, 2253.4031413612565]","[632.0454545454545, 910.227272727273, 400.90909090909054, 540.0]"
32,54,5,400,"[0.0, 409.16230366492147, 797.3821989528797, 1067.8010471204188, 1665.4450261780105]","[470.4545454545454, 519.5454545454547, 292.5, 509.31818181818153]"
32,55,4,600,"[0.0, 654.1958041958042, 1175.5244755244755, 1679.3706293706293]","[632.0454545454547, 670.909090909091, 443.86363636363603]"
32,56,4,400,"[0.0, 219.93006993006992, 667.1328671328672, 956.993006993007]","[243.40909090909076, 552.2727272727273, 278.18181818181824]"
32,57,4,600,"[0.0, 350.0, 955.2447552447552, 1532.5174825174824]","[355.9090909090909, 652.5, 632.0454545454545]"
32,58,4,400,"[0.0, 198.95104895104896, 383.91608391608395, 561.8881118881119]","[200.4545454545455, 192.27272727272725, 218.86363636363626]"
32,59,4,600,"[0.0, 402.4475524475524, 797.9020979020979, 1326.2237762237762]","[366.13636363636374, 409.090909090909, 650.4545454545455]"
32,60,5,400,"[0.0, 508.6387434554974, 983.2460732984293, 1604.4502617801047, 2220.418848167539]","[456.13636363636374, 630.0, 572.7272727272727]"
32,61,5,600,"[0.0, 423.29842931937173, 1063.8743455497383, 1801.3089005235602, 2300.523560209424]","[427.5000000000001, 617.7272727272727, 783.409090909091, 425.4545454545455]"
32,62,5,400,"[0.0, 613.3507853403141, 1006.8062827225131, 1169.8952879581152, 1600.0]","[691.3636363636364, 450.0, 167.72727272727275, 423.409090909091]"
32,63,4,600,"[0.0, 675.1748251748252, 1395.8041958041958, 2112.9370629370633]","[672.9545454545455, 771.1363636363635, 687.2727272727275]"
32,64,4,400,"[0.0, 195.45454545454544, 397.9020979020979, 873.0769230769231]","[194.31818181818176, 216.81818181818176, 507.27272727272725]"
32,65,4,600,"[0.0, 486.3636363636364, 1049.6503496503497, 1459.090909090909]","[492.9545454545455, 699.5454545454545, 423.40909090909076]"
32,66,5,400,"[0.0, 390.83769633507853, 648.1675392670156, 1007.5916230366491, 1524.083769633508]","[476.5909090909091, 235.22727272727275, 464.31818181818176, 513.4090909090908]"
32,67,5,600,"[0.0, 399.73821989528795, 762.82722513089, 1136.3874345549739, 1805.7591623036649]","[400.909090909091, 386.590909090909, 568.6363636363637, 1665.0]"
32,68,5,400,"[0.0, 348.9528795811518, 540.8376963350786, 829.5811518324608, 1296.3350785340315]","[462.27272727272714, 546.1363636363637, 495.0]"
32,69,4,600,"[0.0, 850.0, 1518.1818181818182, 2347.2027972027972]","[889.7727272727273, 807.9545454545453, 769.0909090909095]"
32,70,4,400,"[0.0, 338.8111888111888, 915.3846153846154, 1159.7902097902097]","[374.31818181818176, 625.909090909091, 220.909090909091]"
32,71,4,600,"[0.0, 458.39160839160843, 1042.6573426573427, 1826.2237762237764]","[462.27272727272725, 834.5454545454545, 711.818181818182]"
32,72,5,400,"[0.0, 456.28272251308897, 632.4607329842931, 1012.8272251308899, 1364.3979057591623]","[556.3636363636364, 169.77272727272725, 378.409090909091, 411.1363636363635]"
