pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
44,1,4,400,"[0.0, 604.5454545454545, 1030.7692307692307, 1495.4545454545455]","[490.909090909091, 405.0, 443.8636363636365]"
44,2,5,600,"[0.0, 656.282722513089, 1215.7068062827225, 2000.261780104712, 2423.560209424084]","[509.318181818182, 427.5, 629.9999999999998, 374.318181818182]"
44,3,4,400,"[0.0, 615.0349650349651, 897.902097902098, 1310.1398601398603]","[456.13636363636374, 286.36363636363626, 472.5000000000002]"
44,4,5,600,"[0.0, 543.7172774869109, 1359.6858638743454, 1974.0837696335077, 2619.8952879581147]","[507.27272727272725, 750.681818181818, 415.227272727273, 458.181818181818]"
44,5,5,400,"[0.0, 579.3193717277486, 758.1151832460732, 1374.0837696335077, 1856.5445026178008]","[437.72727272727275, 724.090909090909, 593.1818181818185]"
44,6,4,600,"[0.0, 350.0, 1105.5944055944055, 1763.2867132867132]","[290.4545454545455, 656.590909090909, 621.818181818182]"
44,7,5,400,"[0.0, 466.75392670157066, 1038.219895287958, 1387.1727748691098, 1757.068062827225]","[499.090909090909, 568.6363636363635, 484.7727272727275, 286.3636363636365]"
44,8,5,600,"[0.0, 834.2931937172775, 1652.8795811518326, 2413.8743455497383, 3169.633507853403]","[717.9545454545453, 713.8636363636365, 707.727272727273, 687.272727272727]"
44,9,4,400,"[0.0, 527.6223776223776, 929.3706293706293, 1439.5104895104896]","[535.9090909090908, 460.22727272727275, 519.5454545454545]"
44,10,5,600,"[0.0, 412.82722513089004, 1074.3455497382197, 1445.287958115183, 2114.659685863874]","[419.31818181818176, 679.0909090909092, 417.272727272727, 656.5909090909095]"
44,11,4,400,"[0.0, 513.6363636363636, 667.1328671328671, 1033.9160839160838]","[392.72727272727275, 466.36363636363626]"
44,12,5,600,"[0.0, 548.9528795811518, 1320.4188481675392, 1699.2146596858638, 2177.4869109947645]","[450.0, 767.0454545454543, 321.13636363636397, 321.1363636363635]"
44,13,5,400,"[0.0, 375.130890052356, 964.9214659685864, 1400.261780104712, 1877.4869109947645]","[294.54545454545473, 632.0454545454543, 558.409090909091, 394.7727272727275]"
44,14,4,600,"[0.0, 398.95104895104896, 941.2587412587413, 1577.9720279720282]","[355.90909090909076, 621.8181818181818, 576.818181818182]"
44,15,4,400,"[0.0, 643.0069930069931, 803.4965034965036, 1338.1118881118882]","[468.409090909091, 157.5, 582.9545454545453]"
44,16,4,600,"[0.0, 647.2027972027972, 1290.909090909091, 1780.769230769231]","[632.0454545454545, 642.2727272727273, 380.4545454545455]"
44,17,5,400,"[0.0, 275.6544502617801, 648.1675392670156, 798.1675392670156, 992.6701570680627]","[272.04545454545473, 392.7272727272725, 149.31818181818198, 157.49999999999977]"
44,18,4,600,"[0.0, 521.3286713286714, 1151.048951048951, 1857.6923076923076]","[282.27272727272725, 617.7272727272727, 595.2272727272727]"
44,19,4,400,"[0.0, 524.1258741258741, 985.3146853146853, 1271.6783216783217]","[495.0, 627.9545454545455, 286.3636363636365]"
44,20,5,600,"[0.0, 491.3612565445026, 1270.6806282722512, 1858.9005235602094, 2334.5549738219897]","[398.86363636363626, 585.0, 580.909090909091, 550.2272727272725]"
44,21,5,400,"[0.0, 474.6073298429319, 891.6230366492146, 1434.2931937172773, 2058.115183246073]","[495.0, 523.6363636363635, 613.6363636363635, 300.68181818181847]"
44,22,4,600,"[0.0, 580.7692307692307, 1088.1118881118882, 1728.3216783216785]","[517.5, 415.22727272727275, 582.9545454545457]"
44,23,4,400,"[0.0, 356.2937062937063, 726.5734265734266, 1131.8181818181818]","[370.22727272727275, 349.77272727272725, 341.590909090909]"
44,24,4,600,"[0.0, 409.44055944055947, 965.7342657342657, 1543.006993006993]","[368.18181818181813, 578.8636363636365, 552.2727272727273]"
44,25,5,400,"[0.0, 220.6806282722513, 642.9319371727748, 994.5026178010471, 1521.4659685863874]","[241.36363636363626, 468.409090909091, 503.18181818181824, 370.2272727272725]"
44,26,4,600,"[0.0, 405.94405594405595, 1060.13986013986, 1445.1048951048951]","[323.181818181818, 627.9545454545455, 339.5454545454545]"
44,27,5,400,"[0.0, 233.7696335078534, 873.2984293193717, 1258.9005235602094, 1702.0942408376964]","[235.22727272727275, 535.909090909091, 464.31818181818176, 357.9545454545455]"
44,28,4,600,"[0.0, 377.97202797202794, 1130.06993006993, 1731.8181818181818]","[310.9090909090909, 603.409090909091, 529.772727272727]"
44,29,5,400,"[0.0, 265.1832460732984, 752.8795811518323, 978.7958115183244, 1131.4136125654447]","[257.72727272727275, 458.181818181818, 192.27272727272725, 198.409090909091]"
44,30,4,600,"[0.0, 738.1118881118881, 1427.2727272727275, 2077.972027972028]","[648.4090909090909, 654.5454545454547, 585.0]"
44,31,4,400,"[0.0, 254.8951048951049, 747.5524475524476, 897.5524475524476]","[192.27272727272725, 460.22727272727275, 155.45454545454527]"
44,32,4,600,"[0.0, 433.91608391608395, 937.7622377622379, 1308.741258741259]","[243.409090909091, 562.5, 400.90909090909076]"
44,33,5,400,"[0.0, 356.80628272251306, 959.6858638743455, 1452.6178010471203, 1976.9633507853403]","[323.18181818181813, 507.27272727272725, 525.6818181818182, 315.0]"
44,34,5,600,"[0.0, 598.6910994764398, 1095.2879581151833, 1940.0523560209424, 2769.109947643979]","[480.68181818181824, 353.86363636363626, 587.0454545454545, 720.0]"
44,35,4,400,"[0.0, 247.90209790209792, 621.6783216783217, 855.5944055944057]","[225.0000000000001, 464.31818181818176, 235.22727272727275]"
44,36,5,600,"[0.0, 355.23560209424085, 1142.4083769633507, 1843.193717277487, 2347.6439790575914]","[245.4545454545455, 576.8181818181818, 517.5, 431.590909090909]"
44,37,4,400,"[0.0, 587.0629370629371, 810.4895104895105, 1219.2307692307693]","[482.72727272727275, 210.68181818181824, 486.818181818182]"
44,38,5,600,"[0.0, 439.0052356020942, 1045.5497382198953, 1408.6387434554974, 1852.8795811518326]","[744.5454545454545, 200.45454545454527, 687.2727272727275, 447.9545454545455]"
44,39,5,400,"[0.0, 241.62303664921467, 621.9895287958116, 813.8743455497383, 1272.7748691099478]","[218.8636363636365, 443.86363636363626, 237.27272727272725, 476.590909090909]"
44,40,4,600,"[0.0, 598.2517482517483, 1413.2867132867134, 1826.2237762237764]","[566.590909090909, 724.0909090909092, 353.8636363636365]"
44,41,5,400,"[0.0, 581.9371727748692, 737.1727748691101, 1345.2879581151833, 1992.670157068063]","[445.9090909090909, 169.77272727272725, 568.6363636363635, 644.318181818182]"
44,42,5,600,"[0.0, 839.5287958115183, 1493.193717277487, 2060.471204188482, 2661.780104712042]","[621.8181818181818, 574.7727272727275, 572.7272727272725, 625.909090909091]"
44,43,4,400,"[0.0, 289.86013986013984, 642.6573426573426, 922.027972027972]","[290.4545454545456, 458.181818181818, 274.09090909090924]"
44,44,4,600,"[0.0, 517.8321678321679, 972.7272727272727, 1483.5664335664337]","[462.27272727272725, 439.77272727272725, 409.09090909090924]"
44,45,4,400,"[0.0, 415.73426573426576, 974.8251748251748, 1422.027972027972]","[425.4545454545455, 585.0, 435.68181818181824]"
44,46,5,600,"[0.0, 530.6282722513089, 1378.0104712041884, 2076.1780104712043, 2716.753926701571]","[460.22727272727275, 752.7272727272727, 501.1363636363635, 505.227272727273]"
44,47,5,400,"[0.0, 343.717277486911, 504.1884816753926, 1138.4816753926702, 1301.5706806282724]","[431.59090909090924, 175.90909090909076, 601.3636363636365, 167.72727272727252]"
44,48,5,600,"[0.0, 580.3664921465968, 972.2513089005236, 1471.4659685863874, 2185.3403141361255]","[521.590909090909, 609.5454545454547, 382.4999999999998, 482.727272727273]"
44,49,4,600,"[0.0, 426.9230769230769, 899.3006993006993, 1378.6713286713286]","[450.0, 445.90909090909076, 417.2727272727275]"
44,50,5,400,"[0.0, 249.4764397905759, 438.74345549738223, 973.5602094240837, 1513.6125654450261]","[239.31818181818176, 235.22727272727275, 486.818181818182, 468.40909090909076]"
44,51,5,600,"[0.0, 368.32460732984293, 1042.9319371727747, 1440.0523560209422, 2237.6963350785336]","[355.90909090909076, 589.090909090909, 456.13636363636397, 576.8181818181815]"
44,52,5,400,"[0.0, 547.9057591623036, 786.9109947643979, 960.4712041884816, 1288.48167539267]","[398.86363636363626, 190.22727272727275, 265.909090909091]"
44,53,5,600,"[0.0, 850.0, 1477.4869109947645, 1926.9633507853405, 2439.2670157068064]","[527.7272727272727, 654.5454545454545, 443.8636363636365, 388.6363636363635]"
44,54,5,400,"[0.0, 367.27748691099475, 959.6858638743455, 1609.6858638743456, 2016.2303664921467]","[333.4090909090909, 574.7727272727273, 611.590909090909, 337.5]"
