pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
24,1,4,400,"[0.0, 594.0559440559441, 1076.2237762237762, 1443.006993006993]","[511.36363636363626, 492.9545454545455, 319.090909090909]"
24,2,4,600,"[0.0, 549.3006993006993, 1112.5874125874125, 1829.7202797202797]","[537.9545454545455, 552.2727272727273, 468.409090909091]"
24,3,4,400,"[0.0, 289.86013986013984, 911.8881118881119, 1212.2377622377621]","[282.27272727272725, 558.409090909091, 280.22727272727275]"
24,4,4,600,"[0.0, 405.94405594405595, 867.8321678321679, 1336.7132867132868]","[486.81818181818187, 454.090909090909, 447.9545454545455]"
24,5,4,400,"[0.0, 601.048951048951, 845.4545454545455, 1331.1188811188813]","[566.5909090909092, 251.590909090909, 388.6363636363635]"
24,6,5,600,"[0.0, 789.7905759162304, 1139.7905759162304, 1788.219895287958, 2164.3979057591623]","[627.9545454545455, 292.5, 585.0, 278.181818181818]"
24,7,4,400,"[0.0, 426.2237762237762, 642.6573426573427, 880.0699300699301]","[374.31818181818176, 198.409090909091, 233.18181818181802]"
24,8,5,600,"[0.0, 745.2879581151833, 1469.6335078534032, 2115.4450261780103, 2478.5340314136124]","[627.9545454545454, 691.3636363636363, 570.6818181818185, 274.090909090909]"
24,9,5,400,"[0.0, 547.9057591623036, 904.7120418848167, 1442.1465968586385, 2037.1727748691096]","[683.1818181818182, 292.5, 542.0454545454545, 298.6363636363635]"
24,10,4,600,"[0.0, 500.34965034965035, 1238.4615384615386, 1847.2027972027972]","[540.0, 623.8636363636365, 400.909090909091]"
24,11,4,400,"[0.0, 251.3986013986014, 793.0069930069931, 1439.5104895104896]","[251.590909090909, 503.181818181818, 472.5]"
24,12,5,600,"[0.0, 410.20942408376965, 1197.3821989528794, 1584.0314136125653, 2151.30890052356]","[396.81818181818176, 558.409090909091, 392.7272727272725, 464.318181818182]"
24,13,4,400,"[0.0, 331.8181818181818, 667.1328671328672, 1065.3846153846155]","[366.13636363636374, 378.40909090909076, 364.090909090909]"
24,14,5,600,"[0.0, 499.21465968586386, 1037.696335078534, 1843.193717277487, 2465.4450261780103]","[488.86363636363626, 462.2727272727275, 593.181818181818, 390.681818181818]"
24,15,5,400,"[0.0, 233.7696335078534, 462.30366492146595, 630.6282722513089, 846.0732984293194]","[225.0, 196.36363636363626, 206.59090909090924, 233.18181818181802]"
24,16,5,600,"[0.0, 546.3350785340314, 998.4293193717277, 1560.4712041884818, 2287.434554973822]","[425.4545454545455, 484.77272727272725, 511.3636363636365, 650.454545454545]"
24,17,5,400,"[0.0, 270.4188481675393, 509.4240837696335, 978.7958115183246, 1476.9633507853403]","[251.59090909090924, 253.6363636363635, 443.86363636363626, 476.59090909090946]"
24,18,5,600,"[0.0, 522.7748691099476, 1050.7853403141362, 1586.6492146596859, 2030.890052356021]","[503.18181818181824, 515.4545454545455, 507.272727272727, 499.09090909090946]"
24,19,4,400,"[0.0, 510.13986013986016, 1114.6853146853146, 1764.6853146853146]","[523.6363636363637, 497.0454545454543, 519.545454545455]"
24,20,4,600,"[0.0, 416.43356643356645, 1063.6363636363637, 1854.1958041958044]","[482.72727272727275, 603.409090909091, 523.6363636363635]"
24,21,5,400,"[0.0, 626.4397905759163, 847.1204188481676, 1405.497382198953, 1783.2460732984293]","[519.5454545454547, 194.31818181818153, 386.59090909090946, 396.81818181818153]"
24,22,4,600,"[0.0, 682.1678321678321, 1102.097902097902, 1466.083916083916]","[591.1363636363637, 490.90909090909054, 411.13636363636397]"
24,23,4,400,"[0.0, 272.3776223776224, 712.5874125874127, 1282.1678321678323]","[222.95454545454527, 450.0, 445.9090909090912]"
24,24,4,600,"[0.0, 654.1958041958042, 1423.7762237762238, 1805.2447552447552]","[576.8181818181818, 621.8181818181818, 409.090909090909]"
24,25,5,400,"[0.0, 615.9685863874345, 978.0104712041884, 1182.9842931937173, 1505.759162303665]","[576.8181818181818, 239.31818181818198, 364.090909090909, 415.2272727272725]"
24,26,5,600,"[0.0, 831.6753926701571, 1364.9214659685863, 1725.392670157068, 2104.1884816753927]","[625.909090909091, 572.7272727272725, 405.0, 362.04545454545496]"
24,27,5,400,"[0.0, 529.5811518324607, 826.1780104712042, 1227.4869109947645, 1730.890052356021]","[527.7272727272727, 231.1363636363635, 360.0000000000002, 370.2272727272725]"
24,28,4,600,"[0.0, 811.5384615384615, 1479.72027972028, 2305.2447552447557]","[722.0454545454547, 697.5, 681.1363636363635]"
24,29,5,400,"[0.0, 430.1047120418848, 710.9947643979058, 929.0575916230366, 1233.5078534031413]","[362.0454545454545, 233.18181818181824, 190.22727272727275, 351.81818181818176]"
24,30,4,600,"[0.0, 531.8181818181818, 976.2237762237762, 1427.6223776223776]","[544.0909090909091, 441.81818181818176, 405.0]"
24,31,5,400,"[0.0, 288.74345549738223, 674.3455497382199, 1096.5968586387435, 1466.4921465968587]","[247.5000000000001, 413.181818181818, 394.77272727272725, 310.9090909090912]"
24,32,4,600,"[0.0, 797.5524475524476, 1245.4545454545455, 1605.944055944056]","[664.7727272727273, 431.590909090909, 368.181818181818]"
24,33,4,400,"[0.0, 632.5174825174826, 1076.2237762237762, 1415.034965034965]","[619.7727272727273, 450.0, 317.0454545454545]"
24,34,5,600,"[0.0, 632.7225130890052, 1247.1204188481674, 1788.219895287958, 2499.4764397905756]","[593.1818181818182, 572.7272727272727, 550.2272727272725, 495.0]"
24,35,4,400,"[0.0, 611.5384615384615, 1030.7692307692307, 1341.6083916083917]","[632.0454545454545, 423.409090909091, 349.772727272727]"
24,36,5,600,"[0.0, 690.3141361256544, 1249.7382198952878, 1741.0994764397904, 2324.0837696335075]","[621.8181818181819, 509.31818181818176, 468.40909090909076, 452.04545454545496]"
24,37,4,400,"[0.0, 576.5734265734266, 782.5174825174824, 1303.1468531468531]","[533.8636363636365, 214.77272727272725, 409.090909090909]"
