pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
23,1,5,400,"[0.0, 545.2879581151833, 949.2146596858639, 1329.5811518324608, 1691.6230366492148]","[611.590909090909, 529.772727272727, 327.2727272727275, 327.272727272727]"
23,2,5,600,"[0.0, 695.5497382198953, 1275.916230366492, 1754.1884816753927, 2496.8586387434552]","[591.1363636363636, 544.090909090909, 378.409090909091, 564.5454545454545]"
23,3,4,400,"[0.0, 359.7902097902098, 890.9090909090909, 1313.6363636363635]","[343.6363636363635, 578.8636363636365, 347.72727272727275]"
23,4,4,600,"[0.0, 391.958041958042, 895.8041958041958, 1245.8041958041958]","[355.9090909090909, 621.8181818181818, 360.0000000000002]"
23,5,4,400,"[0.0, 181.46853146853147, 691.6083916083917, 1002.4475524475525]","[180.0, 505.22727272727275, 439.77272727272725]"
23,6,5,600,"[0.0, 585.6020942408377, 1037.696335078534, 1759.4240837696334, 2279.581151832461]","[630.0, 355.909090909091, 623.8636363636365, 531.8181818181815]"
23,7,4,400,"[0.0, 646.5034965034965, 800.0, 1345.1048951048951]","[556.3636363636364, 165.68181818181802, 492.9545454545457]"
23,8,5,600,"[0.0, 459.9476439790576, 974.869109947644, 1743.717277486911, 2256.020942408377]","[542.0454545454545, 466.36363636363626, 646.3636363636365]"
23,9,5,400,"[0.0, 618.586387434555, 1250.2617801047122, 1677.7486910994767, 2199.476439790576]","[613.6363636363635, 585.0, 300.68181818181847, 574.772727272727]"
23,10,5,600,"[0.0, 774.0837696335078, 1179.0575916230366, 1835.3403141361255, 2337.1727748691096]","[638.1818181818181, 306.81818181818176, 591.1363636363637, 609.5454545454545]"
23,11,4,400,"[0.0, 268.8811188811189, 523.7762237762238, 852.0979020979021]",[]
23,12,5,600,"[0.0, 635.3403141361257, 1134.5549738219895, 1730.6282722513088, 2088.48167539267]","[591.1363636363637, 325.22727272727275, 566.590909090909]"
23,13,5,400,"[0.0, 443.1937172774869, 1025.130890052356, 1586.125654450262, 1929.8429319371728]","[439.77272727272737, 593.181818181818, 296.590909090909, 568.636363636364]"
23,14,5,600,"[0.0, 522.7748691099476, 1016.7539267015707, 1371.9895287958116, 2174.869109947644]","[554.3181818181819, 623.8636363636363, 323.18181818181824, 613.6363636363635]"
23,15,5,400,"[0.0, 644.7643979057591, 1171.7277486910994, 1604.4502617801045, 2045.026178010471]","[591.1363636363635, 617.7272727272727, 335.4545454545455, 585.0, 807.9545454545455]"
23,16,4,600,"[0.0, 699.6503496503497, 1367.832167832168, 2196.853146853147]","[672.9545454545454, 662.7272727272727, 691.3636363636365]"
23,17,5,400,"[0.0, 563.6125654450261, 805.2356020942408, 1018.0628272251308, 1395.8115183246073]","[490.9090909090909, 220.909090909091, 257.72727272727275, 521.5909090909092]"
23,18,4,600,"[0.0, 748.6013986013986, 1507.6923076923076, 2126.923076923077]","[699.5454545454545, 707.7272727272727, 685.2272727272727]"
23,19,5,400,"[0.0, 204.9738219895288, 525.130890052356, 853.1413612565444, 1063.3507853403141]","[227.04545454545462, 394.77272727272725, 376.36363636363626, 227.04545454545473]"
23,20,5,600,"[0.0, 415.4450261780105, 953.9267015706806, 1390.3141361256544, 1771.7277486910994]","[589.090909090909, 574.7727272727273, 306.818181818182, 507.272727272727]"
23,21,5,400,"[0.0, 422.25130890052355, 789.5287958115183, 1036.3874345549739, 1215.1832460732985]","[419.31818181818176, 402.9545454545456, 218.86363636363626, 198.409090909091]"
23,22,5,600,"[0.0, 376.1780104712042, 946.0732984293194, 1364.1361256544503, 2023.0366492146597]","[423.4090909090909, 619.7727272727273, 364.09090909090924, 535.909090909091]"
23,23,4,400,"[0.0, 156.993006993007, 352.4475524475524, 516.4335664335664]","[192.27272727272725, 200.4545454545455, 167.72727272727275]"
23,24,5,600,"[0.0, 740.0523560209424, 1521.9895287958116, 1934.8167539267015, 2740.3141361256544]","[648.4090909090909, 775.227272727273, 265.90909090909054, 650.4545454545455]"
23,25,4,400,"[0.0, 177.97202797202797, 327.97202797202794, 670.2797202797203]","[206.59090909090907, 167.72727272727275, 364.090909090909]"
23,26,4,600,"[0.0, 818.5314685314686, 1595.1048951048951, 2301.7482517482517]","[728.1818181818182, 836.5909090909092, 765.0]"
23,27,5,400,"[0.0, 351.57068062827227, 569.6335078534032, 1117.5392670157069, 1618.324607329843]","[460.22727272727286, 231.1363636363635, 492.9545454545455, 454.090909090909]"
23,28,4,600,"[0.0, 703.1468531468531, 1500.6993006993007, 2084.965034965035]","[599.3181818181819, 595.2272727272725, 339.5454545454545]"
23,29,4,400,"[0.0, 314.3356643356643, 488.8111888111888, 750.6993006993007]","[386.59090909090924, 194.31818181818176, 300.68181818181824]"
23,30,5,600,"[0.0, 619.6335078534031, 1008.9005235602094, 1639.0052356020942, 2211.5183246073298]","[564.5454545454544, 304.7727272727275, 492.95454545454527, 527.727272727273]"
23,31,4,400,"[0.0, 580.06993006993, 800.0, 1135.3146853146854]","[488.8636363636364, 214.77272727272725, 323.18181818181824]"
23,32,4,600,"[0.0, 566.7832167832169, 1081.1188811188813, 1836.7132867132868]","[570.6818181818181, 540.0, 353.8636363636365]"
