pp_id,stim_id,length,int_tempo,stim_onsets,resp_ITIs
44,1,4,400,"[0.0, 604.5454545454545, 1030.7692307692307, 1495.4545454545455]","[490.909090909091, 407.0454545454545, 441.818181818182]"
44,2,5,600,"[0.0, 656.282722513089, 1215.7068062827225, 2000.261780104712, 2423.560209424084]","[507.2727272727275, 429.5454545454545, 627.9545454545453, 374.318181818182]"
44,3,4,400,"[0.0, 615.0349650349651, 897.902097902098, 1310.1398601398603]","[454.090909090909, 288.409090909091, 472.5000000000002]"
44,4,5,600,"[0.0, 543.7172774869109, 1359.6858638743454, 1974.0837696335077, 2619.8952879581147]","[507.27272727272725, 746.590909090909, 419.318181818182, 456.1363636363635]"
44,5,5,400,"[0.0, 579.3193717277486, 758.1151832460732, 1374.0837696335077, 1856.5445026178008]","[441.818181818182, 157.5, 566.5909090909088, 591.136363636364]"
44,6,4,600,"[0.0, 350.0, 1105.5944055944055, 1763.2867132867132]","[300.68181818181824, 648.4090909090908, 621.818181818182]"
44,7,5,400,"[0.0, 466.75392670157066, 1038.219895287958, 1387.1727748691098, 1757.068062827225]","[499.090909090909, 568.6363636363635, 482.727272727273, 286.3636363636365]"
44,8,5,600,"[0.0, 834.2931937172775, 1652.8795811518326, 2413.8743455497383, 3169.633507853403]","[711.8181818181818, 713.8636363636365, 709.7727272727275, 689.3181818181815]"
44,9,4,400,"[0.0, 527.6223776223776, 929.3706293706293, 1439.5104895104896]","[535.9090909090908, 458.18181818181824, 519.5454545454545]"
44,10,5,600,"[0.0, 412.82722513089004, 1074.3455497382197, 1445.287958115183, 2114.659685863874]","[415.22727272727275, 681.1363636363637, 417.272727272727, 652.5]"
44,11,4,400,"[0.0, 513.6363636363636, 667.1328671328671, 1033.9160839160838]","[396.81818181818176, 462.27272727272725]"
44,12,5,600,"[0.0, 548.9528795811518, 1320.4188481675392, 1699.2146596858638, 2177.4869109947645]","[450.0, 764.9999999999998, 323.18181818181847, 319.090909090909]"
44,13,5,400,"[0.0, 375.130890052356, 964.9214659685864, 1400.261780104712, 1877.4869109947645]","[290.45454545454527, 638.1818181818185, 556.363636363636, 392.727272727273]"
44,14,4,600,"[0.0, 398.95104895104896, 941.2587412587413, 1577.9720279720282]","[355.90909090909076, 623.8636363636363, 574.7727272727275]"
44,15,4,400,"[0.0, 643.0069930069931, 803.4965034965036, 1338.1118881118882]","[472.5, 736.3636363636363]"
44,16,4,600,"[0.0, 647.2027972027972, 1290.909090909091, 1780.769230769231]","[634.090909090909, 640.2272727272727, 382.5]"
44,17,5,400,"[0.0, 275.6544502617801, 648.1675392670156, 798.1675392670156, 992.6701570680627]","[274.09090909090924, 392.72727272727275, 302.7272727272725]"
44,18,4,600,"[0.0, 521.3286713286714, 1151.048951048951, 1857.6923076923076]","[284.31818181818176, 615.6818181818182, 597.2727272727273]"
44,19,4,400,"[0.0, 524.1258741258741, 985.3146853146853, 1271.6783216783217]","[492.9545454545455, 630.0, 282.2727272727275]"
44,20,5,600,"[0.0, 491.3612565445026, 1270.6806282722512, 1858.9005235602094, 2334.5549738219897]","[396.81818181818176, 587.0454545454545, 578.8636363636365, 546.1363636363635]"
44,21,5,400,"[0.0, 474.6073298429319, 891.6230366492146, 1434.2931937172773, 2058.115183246073]","[497.0454545454545, 521.590909090909, 615.681818181818, 298.63636363636397]"
44,22,4,600,"[0.0, 580.7692307692307, 1088.1118881118882, 1728.3216783216785]","[517.5, 413.181818181818, 585.0000000000002]"
44,23,4,400,"[0.0, 356.2937062937063, 726.5734265734266, 1131.8181818181818]","[372.27272727272725, 349.77272727272725, 339.5454545454545]"
44,24,4,600,"[0.0, 409.44055944055947, 965.7342657342657, 1543.006993006993]","[372.27272727272725, 574.7727272727273, 552.2727272727273]"
44,25,5,400,"[0.0, 220.6806282722513, 642.9319371727748, 994.5026178010471, 1521.4659685863874]","[241.36363636363626, 468.409090909091, 503.18181818181824, 370.2272727272725]"
44,26,4,600,"[0.0, 405.94405594405595, 1060.13986013986, 1445.1048951048951]","[323.181818181818, 627.9545454545455, 339.5454545454545]"
44,27,5,400,"[0.0, 233.7696335078534, 873.2984293193717, 1258.9005235602094, 1702.0942408376964]","[235.22727272727275, 535.909090909091, 464.31818181818176, 357.9545454545455]"
44,28,4,600,"[0.0, 377.97202797202794, 1130.06993006993, 1731.8181818181818]","[315.0, 603.409090909091, 531.818181818182]"
44,29,5,400,"[0.0, 265.1832460732984, 752.8795811518323, 978.7958115183244, 1131.4136125654447]","[263.8636363636365, 456.1363636363635, 194.31818181818176, 196.3636363636365]"
44,30,4,600,"[0.0, 738.1118881118881, 1427.2727272727275, 2077.972027972028]","[646.3636363636363, 654.5454545454547, 585.0]"
44,31,4,400,"[0.0, 254.8951048951049, 747.5524475524476, 897.5524475524476]","[194.31818181818176, 458.18181818181824]"
44,32,4,600,"[0.0, 433.91608391608395, 937.7622377622379, 1308.741258741259]","[243.409090909091, 562.5, 402.95454545454527]"
44,33,5,400,"[0.0, 356.80628272251306, 959.6858638743455, 1452.6178010471203, 1976.9633507853403]","[323.18181818181813, 505.22727272727275, 525.6818181818182, 315.0, 1002.272727272727]"
44,34,5,600,"[0.0, 598.6910994764398, 1095.2879581151833, 1940.0523560209424, 2769.109947643979]","[478.63636363636374, 355.90909090909076, 587.0454545454545, 720.0]"
44,35,4,400,"[0.0, 247.90209790209792, 621.6783216783217, 855.5944055944057]","[229.09090909090912, 462.27272727272725, 235.22727272727275]"
44,36,5,600,"[0.0, 355.23560209424085, 1142.4083769633507, 1843.193717277487, 2347.6439790575914]","[243.40909090909088, 576.8181818181818, 519.5454545454545, 429.5454545454545]"
44,37,4,400,"[0.0, 587.0629370629371, 810.4895104895105, 1219.2307692307693]","[484.77272727272725, 210.68181818181824, 486.818181818182]"
44,38,5,600,"[0.0, 439.0052356020942, 1045.5497382198953, 1408.6387434554974, 1852.8795811518326]","[748.6363636363635, 196.36363636363626, 685.227272727273, 450.0]"
44,39,5,400,"[0.0, 241.62303664921467, 621.9895287958116, 813.8743455497383, 1272.7748691099478]","[218.86363636363637, 443.86363636363626, 237.27272727272725, 472.5]"
44,40,4,600,"[0.0, 598.2517482517483, 1413.2867132867134, 1826.2237762237764]","[568.6363636363637, 720.0, 355.909090909091]"
44,41,5,400,"[0.0, 581.9371727748692, 737.1727748691101, 1345.2879581151833, 1992.670157068063]","[443.8636363636364, 742.5000000000002, 644.3181818181815]"
44,42,5,600,"[0.0, 839.5287958115183, 1493.193717277487, 2060.471204188482, 2661.780104712042]","[625.909090909091, 568.6363636363637, 574.772727272727, 621.818181818182]"
44,43,4,400,"[0.0, 289.86013986013984, 642.6573426573426, 922.027972027972]","[292.5000000000001, 458.181818181818, 274.09090909090924]"
44,44,4,600,"[0.0, 517.8321678321679, 972.7272727272727, 1483.5664335664337]","[462.27272727272725, 439.77272727272725, 409.09090909090924]"
44,45,4,400,"[0.0, 415.73426573426576, 974.8251748251748, 1422.027972027972]","[429.5454545454546, 585.0, 435.68181818181824]"
44,46,5,600,"[0.0, 530.6282722513089, 1378.0104712041884, 2076.1780104712043, 2716.753926701571]","[462.27272727272725, 752.7272727272727, 501.1363636363635, 505.227272727273]"
44,47,5,400,"[0.0, 343.717277486911, 504.1884816753926, 1138.4816753926702, 1301.5706806282724]","[429.54545454545473, 177.95454545454527, 599.318181818182, 167.72727272727252]"
