pp_id_behav,pp_id_scan
53,20
28,21
22,22
51,23
43,24
44,25
35,26
29,27
23,28
20,29
59,30
26,31
31,32
25,33
32,34
63,35
48,36
52,37
58,38
66,39
60,40
45,41
57,42
47,43
49,44
40,46
65,47
64,48
36,49
41,50
33,51
21,52
38,53
62,54
24,56
34,57
55,58
37,59
46,60
27,61
42,62
30,63
54,64
50,65
61,66
56,67
39,68
