pp_id_behav,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,tempo_ratio_resp_to_stim,asynchrony_norm_abs_trialsum,stim_entropy_norm_q,resp_entropy_norm_q,entropy_diff_norm_q,G_resp,k_clusters_resp,G_stim,k_clusters_stim,G_diff,silhouette,iti_ioi_cov_diff,edit_distance_norm_q
56,29,female,indonesian,right,0,72,56_72,400,412.237762237762,114.480458347866,4,4,348.409090909091,159.392409112369,0.7529125625706447,0.1556771662387053,0.6365141682948128,0.6365141682948128,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.146790929454297,2.0
56,29,female,indonesian,right,0,73,56_73,600,742.015706806283,69.9945696959488,5,5,678.068181818182,63.56286339763,0.7529125625706447,0.0783938580520614,0.0,0.5623351446188083,0.5623351446188083,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0005102606837483,1.0
56,29,female,indonesian,right,0,75,56_75,600,578.403141361257,198.968666132202,5,5,506.761363636364,203.974487192933,0.7529125625706447,0.1421567586440447,1.3862943611198906,0.6931471805599453,-0.6931471805599453,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,0.0506706946912875,1.0
56,29,female,indonesian,right,0,76,56_76,400,464.13612565445,188.299795898999,5,5,543.579545454545,252.619157098304,0.7529125625706447,0.2253248396693586,1.039720770839918,1.039720770839918,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0511241953904922,3.0
56,29,female,indonesian,right,0,77,56_77,600,578.438228438229,127.530541406017,4,4,501.136363636364,168.95751703308,0.8198500117178344,0.132201145620448,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0952646330818705,2.0
56,29,female,indonesian,right,0,78,56_78,400,390.09324009324,194.813092729915,4,4,400.909090909091,183.305141208283,0.8198500117178344,0.139303346077003,1.0986122886681096,1.0986122886681096,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,-0.0344379044866415,2.0
56,29,female,indonesian,right,0,79,56_79,600,781.235431235431,85.8128677585081,4,4,732.272727272727,33.6724315223614,0.8198500117178344,0.1012990375637133,0.6365141682948128,0.0,-0.6365141682948128,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0521407057845653,1.0
56,29,female,indonesian,right,0,80,56_80,400,444.871794871795,221.036919622811,4,4,465.681818181818,236.622345304751,0.835714285714286,0.1049124840670027,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0091977447977507,0.0
56,29,female,indonesian,right,0,81,56_81,600,431.806282722513,132.423392152788,5,5,438.75,152.899152471315,0.835714285714286,0.218264205229952,0.5623351446188083,0.6931471805599453,0.130812035941137,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0362128077105903,3.0
56,29,female,indonesian,right,0,82,56_82,400,562.303664921466,67.6420068980228,5,5,632.045454545455,117.76324476755,0.835714285714286,0.2162295926669199,0.5623351446188083,0.5623351446188083,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0571805425189386,3.0
