pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,isochrony_introduced,binary_or_ternary_introduced,simple_ratios_introduced,tempo_deviation_abs_avg,edit_distance_norm_q_avg
53,20,400,5,400_5,43,0.000764125813939,-0.0816650795428643,0.021155430576149586,-0.00578874549265343,0.2790697674418601,-0.0784883720930235,0.2005813953488365,0.046599705882039925,0.9767441860465116
28,21,400,5,400_5,38,0.0167875229732764,-0.07984770510847514,0.02929757555485083,-0.0017432672574229332,0.947368421052631,-0.5120614035087718,0.4353070175438591,0.06420294603245365,1.368421052631579
22,22,400,5,400_5,30,0.0080823561646253,0.014384103622589054,0.060679718166923725,0.05194472926676083,-0.6000000000000001,3.558333333333334,2.958333333333334,0.09657865816786285,2.533333333333333
51,23,400,5,400_5,39,0.0633014298613827,-0.09557333268415386,0.04142204327137803,-0.026993668301592298,0.9230769230769234,-0.5117521367521369,0.4113247863247864,0.08477160698998225,1.7692307692307692
43,24,400,5,400_5,34,0.031782904799836,0.007694825643596294,0.06529691411555788,0.07735093953436258,-1.7647058823529402,1.2120098039215683,-0.5526960784313717,0.13531159370528803,2.323529411764706
44,25,400,5,400_5,42,0.0039890693458065,-0.16721897239729358,0.03648075135627392,-0.023317127471538007,1.2857142857142847,1.4494047619047616,2.7351190476190466,0.06766946370158329,1.8333333333333333
35,26,400,5,400_5,37,0.0090580960749264,-0.02686103387287783,0.03019185728941544,0.010823017726122736,0.0,0.1047297297297297,0.1047297297297297,0.13243776470717938,1.3513513513513513
29,27,400,5,400_5,42,0.0163853500335237,-0.11147931493152904,0.04975859819735381,-0.010332870744918262,1.1428571428571423,0.3263888888888888,1.4692460317460312,0.11693126833643006,2.0
23,28,400,5,400_5,45,0.0011469659409885,-0.18208288105483073,0.031029726045043265,-0.026777365305092685,1.0666666666666664,0.7305555555555561,1.7972222222222225,0.07619531161689187,1.511111111111111
20,29,400,5,400_5,48,0.0018106749310119,-0.10653446532920607,0.01749846758435523,-0.019413600894525124,0.375,2.002604166666667,2.377604166666667,0.05145390180659432,0.7708333333333334
59,30,400,5,400_5,35,0.0845376868796088,-0.132658406464856,0.03936817202583761,-0.045538154960486764,2.057142857142855,0.0369047619047619,2.0940476190476174,0.11430822669526368,1.9428571428571428
26,31,400,5,400_5,39,0.0070275385561804,-0.10445983499902496,0.02237789841898727,0.006010115724884917,0.9230769230769224,2.092948717948718,3.0160256410256405,0.08997232763523481,1.0256410256410255
31,32,400,5,400_5,44,0.0141145133266594,-0.10343907252688825,0.03251712197858587,0.02074679019801413,0.2727272727272725,1.4422348484848488,1.714962121212121,0.1456579355701183,1.7272727272727273
25,33,400,5,400_5,46,0.0317216208843316,-0.21778962247726358,0.029717881977142906,-0.036145532250736696,1.695652173913043,-0.1639492753623181,1.5317028985507248,0.06374250038814014,1.5434782608695652
32,34,400,5,400_5,45,0.0091219456139665,-0.019329371867656008,0.03259590322237953,0.06965760850917169,-0.7999999999999998,3.638888888888889,2.838888888888889,0.17259278144966628,1.6888888888888889
63,35,400,5,400_5,36,0.1443034477387144,-0.2419500631817432,0.08299159761294356,0.05137154637444522,-1.4999999999999991,5.1469907407407405,3.646990740740741,0.1494414577267438,2.5
48,36,400,5,400_5,46,0.003139017430524,-0.05188974198055539,0.022721845862649546,0.012185750770838229,0.7826086956521738,1.6277173913043477,2.410326086956521,0.12234447032923637,1.2826086956521738
52,37,400,5,400_5,32,0.0118797079974924,-0.03923382266183603,0.052772339733207684,0.010182610138937984,-0.5625,0.850260416666667,0.2877604166666669,0.11865880559424752,2.125
58,38,400,5,400_5,46,0.0069973049710935,-0.05842693921395832,0.04280691000451735,0.06694445576410521,-1.304347826086956,3.4755434782608696,2.171195652173913,0.19547102582849313,2.0
66,39,400,5,400_5,44,0.0001656239577788,-0.07683605419095518,0.039137289269049094,0.03546842067704939,-0.545454545454545,1.807765151515152,1.2623106060606069,0.1338537145823516,1.6136363636363635
60,40,400,5,400_5,19,0.0796950530995784,-0.0891463658181896,0.08617815831395781,0.034242291430644,1.5789473684210522,0.8048245614035088,2.3837719298245608,0.14544342936817384,3.3157894736842106
45,41,400,5,400_5,38,0.0589069636633774,-0.04680869655113953,0.026369002473008996,0.013760431473564497,-0.1578947368421053,0.7500000000000002,0.5921052631578949,0.07115497054885357,1.236842105263158
57,42,400,5,400_5,35,0.0309200618736648,-0.08538143647367477,0.038310805234327984,0.014829209851032824,0.1714285714285717,1.0214285714285718,1.1928571428571435,0.1162482595650571,1.8571428571428572
47,43,400,5,400_5,40,0.0016041840091816,-0.10397207708399181,0.029999833363958495,0.0144450613649667,0.0,1.1593749999999998,1.1593749999999998,0.09093167337707239,1.15
49,44,400,5,400_5,41,0.0041210242937858,-0.12584187447183728,0.024875927892147157,0.006199056364079494,-0.7317073170731705,0.6758130081300817,-0.0558943089430887,0.06545760010395596,1.2195121951219512
40,46,400,5,400_5,47,0.0097805583445272,-0.10240304815032673,0.02180922657982444,-0.03719175292503613,0.7659574468085104,-0.6507092198581561,0.1152482269503543,0.09657254694324652,1.0425531914893618
65,47,400,5,400_5,42,0.0225894729659863,-0.19399683642676063,0.02874551421361759,-0.03957421745971338,2.142857142857141,-0.7589285714285714,1.38392857142857,0.07742497609881764,1.4285714285714286
64,48,400,5,400_5,31,0.090595747209624,0.02657932956455104,0.03395609750900538,-0.0007278752911811765,-0.5806451612903221,0.8938172043010755,0.3131720430107534,0.11179642191396984,1.5161290322580645
