pp_id,stim_tempo_intended,length,G,rhythmic_contours_edit_distance_sum,silhouette,tempo_diff_avg,tempo_diff_sd,tempo_diff_avg_abs,ratio_diff_avg_abs,entropy_diff_avg
1,400,4,0.0612849423569413,81,0.5585815865378208,8.838604577240924,104.1805906192469,71.36032528077988,0.06856892163401519,-0.06697738114002946
1,400,5,0.0612849423569413,124,0.5585815865378208,7.242690319424611,138.5250525599462,85.69451881379239,0.08052792666657642,-0.06502960037672528
1,600,4,0.083904809186542,81,0.5916197355477971,19.520610967979323,153.2519156007068,112.88921604711076,0.0666167410782082,-0.08512333796350204
1,600,5,0.083904809186542,136,0.5916197355477971,-32.17909234950777,131.43545627467063,103.19901707207093,0.06087428992587863,-0.11288671366581077
2,400,4,0.0562298910172479,30,0.6160635130206316,73.34015577918015,140.51205587815218,98.11245664904202,0.06156770090841105,-0.011270685862763336
2,400,5,0.0562298910172479,116,0.6160635130206316,72.87732882300945,117.95933410395708,103.00966376555387,0.07058359679465498,-0.05776226504666212
2,600,4,0.057173664383977,72,0.5620473045567025,50.47950238167629,130.83770019475955,106.1838704773488,0.05572355797077427,-0.06785697430614811
2,600,5,0.057173664383977,144,0.5620473045567025,51.12730145923543,120.37990136660571,104.49876510604709,0.06000709759489164,-0.07607712957365252
3,400,4,0.0050381511864986,33,0.6100156209206361,33.98427813321428,70.87889307908982,57.71735356841736,0.042265127115998606,0.06641320889537898
3,400,5,0.0050381511864986,84,0.6100156209206361,51.065489647786784,77.30411945793986,65.8232483990308,0.042468113097365714,-0.02363001751908905
3,600,4,0.033610466391665,75,0.5714906874213845,19.43713894800851,116.41460955349412,90.90719063545154,0.050388673478679154,-0.06406532109046296
3,600,5,0.033610466391665,112,0.5714906874213845,25.868194850524723,122.07475055177477,95.27903379343172,0.055277194545547775,-0.05776226504666212
4,400,4,0.0303970724841378,39,0.5500403462669369,-7.07612562875719,77.32254033192076,53.973132131026944,0.048581474651756794,-0.036481430555786586
4,400,5,0.0303970724841378,56,0.5500403462669369,7.275646269633514,81.30322717227139,59.85719225963826,0.04981216384149908,-0.047409574908157115
