pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
1,22,F,Danish,right,1.0,1,1_1,5,5,600,658.900523560209,131.360411416695,1,522.774869109948,488.863636363636,33.9112327463112
1,22,F,Danish,right,1.0,1,1_1,5,5,600,658.900523560209,131.360411416695,2,656.282722513089,758.863636363636,102.580913850548
1,22,F,Danish,right,1.0,1,1_1,5,5,600,658.900523560209,131.360411416695,3,836.910994764398,787.5,49.4109947643979
1,22,F,Danish,right,1.0,1,1_1,5,5,600,658.900523560209,131.360411416695,4,619.633507853403,507.272727272727,112.360780580676
1,22,F,Danish,right,1.0,2,1_2,4,4,400,493.822843822844,146.950239853409,1,625.524475524476,411.136363636364,214.388111888112
1,22,F,Danish,right,1.0,2,1_2,4,4,400,493.822843822844,146.950239853409,2,335.314685314685,760.909090909091,425.594405594405
1,22,F,Danish,right,1.0,2,1_2,4,4,400,493.822843822844,146.950239853409,3,520.629370629371,288.409090909091,232.22027972028
1,22,F,Danish,right,1.0,3,1_3,5,5,600,597.38219895288,200.057784293357,1,651.047120418848,505.227272727273,145.819847691575
1,22,F,Danish,right,1.0,3,1_3,5,5,600,597.38219895288,200.057784293357,2,528.010471204188,734.318181818182,206.307710613993
1,22,F,Danish,right,1.0,3,1_3,5,5,600,597.38219895288,200.057784293357,3,842.146596858639,765.0,77.1465968586388
1,22,F,Danish,right,1.0,3,1_3,5,5,600,597.38219895288,200.057784293357,4,368.324607329843,480.681818181818,112.357210851976
1,22,F,Danish,right,1.0,4,1_4,5,5,400,519.764397905759,85.3733648352808,1,398.69109947644,392.727272727273,5.96382674916703
1,22,F,Danish,right,1.0,4,1_4,5,5,400,519.764397905759,85.3733648352808,2,526.96335078534,460.227272727273,66.7360780580675
1,22,F,Danish,right,1.0,4,1_4,5,5,400,519.764397905759,85.3733648352808,3,558.376963350785,468.409090909091,89.9678724416945
1,22,F,Danish,right,1.0,4,1_4,5,5,400,519.764397905759,85.3733648352808,4,595.026178010471,615.681818181818,20.6556401713474
1,22,F,Danish,right,1.0,5,1_5,4,4,600,492.191142191142,53.4099731346834,1,433.916083916084,409.090909090909,24.8251748251747
1,22,F,Danish,right,1.0,5,1_5,4,4,600,492.191142191142,53.4099731346834,2,538.811188811189,499.090909090909,39.7202797202798
1,22,F,Danish,right,1.0,5,1_5,4,4,600,492.191142191142,53.4099731346834,3,503.846153846154,529.772727272727,25.9265734265737
1,22,F,Danish,right,1.0,6,1_6,5,5,400,221.989528795812,51.7636647468199,1,194.502617801047,171.818181818182,22.6844359828651
1,22,F,Danish,right,1.0,6,1_6,5,5,400,221.989528795812,51.7636647468199,2,176.178010471204,184.090909090909,7.91289861970483
1,22,F,Danish,right,1.0,6,1_6,5,5,400,221.989528795812,51.7636647468199,3,293.979057591623,272.045454545455,21.9336030461685
1,22,F,Danish,right,1.0,6,1_6,5,5,400,221.989528795812,51.7636647468199,4,223.298429319372,337.5,114.201570680628
1,22,F,Danish,right,1.0,7,1_7,4,4,600,541.142191142191,168.28077186226,1,591.258741258741,355.909090909091,235.34965034965
1,22,F,Danish,right,1.0,7,1_7,4,4,600,541.142191142191,168.28077186226,2,353.496503496503,640.227272727273,286.730769230769
1,22,F,Danish,right,1.0,7,1_7,4,4,600,541.142191142191,168.28077186226,3,678.671328671329,621.818181818182,56.8531468531469
1,22,F,Danish,right,1.0,8,1_8,5,5,400,358.115183246073,119.361393876209,1,453.664921465969,296.590909090909,157.074012375059
1,22,F,Danish,right,1.0,8,1_8,5,5,400,358.115183246073,119.361393876209,2,456.282722513089,529.772727272727,73.4900047596382
1,22,F,Danish,right,1.0,8,1_8,5,5,400,358.115183246073,119.361393876209,3,210.20942408377,192.272727272727,17.9366968110426
1,22,F,Danish,right,1.0,8,1_8,5,5,400,358.115183246073,119.361393876209,4,312.303664921466,327.272727272727,14.9690623512615
1,22,F,Danish,right,1.0,9,1_9,4,4,600,647.202797202797,80.6472908718237,1,724.125874125874,791.590909090909,67.4650349650349
1,22,F,Danish,right,1.0,9,1_9,4,4,600,647.202797202797,80.6472908718237,2,563.286713286713,550.227272727273,13.0594405594406
1,22,F,Danish,right,1.0,9,1_9,4,4,600,647.202797202797,80.6472908718237,3,654.195804195804,554.318181818182,99.8776223776222
1,22,F,Danish,right,1.0,10,1_10,5,5,400,354.188481675393,215.233558021932,1,422.251308900524,490.909090909091,68.6577820085674
1,22,F,Danish,right,1.0,10,1_10,5,5,400,354.188481675393,215.233558021932,2,218.062827225131,161.590909090909,56.4719181342218
1,22,F,Danish,right,1.0,10,1_10,5,5,400,354.188481675393,215.233558021932,3,150.0,274.090909090909,124.090909090909
1,22,F,Danish,right,1.0,10,1_10,5,5,400,354.188481675393,215.233558021932,4,626.439790575916,304.772727272727,321.667063303189
1,22,F,Danish,right,1.0,11,1_11,4,4,600,452.564102564103,107.788380843709,1,367.482517482517,300.681818181818,66.8006993006994
1,22,F,Danish,right,1.0,11,1_11,4,4,600,452.564102564103,107.788380843709,2,573.776223776224,548.181818181818,25.5944055944055
1,22,F,Danish,right,1.0,11,1_11,4,4,600,452.564102564103,107.788380843709,3,416.433566433567,540.0,123.566433566433
1,22,F,Danish,right,1.0,12,1_12,4,4,400,295.687645687646,89.7133118784421,1,219.93006993007,229.090909090909,9.1608391608392
1,22,F,Danish,right,1.0,12,1_12,4,4,400,295.687645687646,89.7133118784421,2,394.755244755245,388.636363636364,6.11888111888112
1,22,F,Danish,right,1.0,12,1_12,4,4,400,295.687645687646,89.7133118784421,3,272.377622377622,212.727272727273,59.6503496503499
1,22,F,Danish,right,1.0,13,1_13,4,4,600,687.995337995338,128.295158047873,1,608.741258741259,670.909090909091,62.1678321678322
1,22,F,Danish,right,1.0,13,1_13,4,4,600,687.995337995338,128.295158047873,2,836.013986013986,934.772727272727,98.7587412587412
1,22,F,Danish,right,1.0,13,1_13,4,4,600,687.995337995338,128.295158047873,3,619.230769230769,644.318181818182,25.0874125874129
