pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
1,22,F,Danish,right,1.0,1,1_1,600,658.900523560209,131.360411416695,5,5,635.625,159.443805031146,3,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,0
1,22,F,Danish,right,1.0,2,1_2,400,493.822843822844,146.950239853409,4,4,486.818181818182,245.173134136837,4,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,2
1,22,F,Danish,right,1.0,3,1_3,600,597.38219895288,200.057784293357,5,5,621.306818181818,149.073975271694,3,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,4,1_4,400,519.764397905759,85.3733648352808,5,5,484.261363636364,93.9481377284545,2,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,0
1,22,F,Danish,right,1.0,5,1_5,600,492.191142191142,53.4099731346834,4,4,479.318181818182,62.7235670842196,2,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,6,1_6,400,221.989528795812,51.7636647468199,5,5,241.363636363636,78.1031581037868,2,1.0986122886681096,1.0986122886681096,0.0,0.061284942356941374,0.5585815865378208,2
1,22,F,Danish,right,1.0,7,1_7,600,541.142191142191,168.28077186226,4,4,539.318181818182,159.103408599876,2,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,2
1,22,F,Danish,right,1.0,8,1_8,400,358.115183246073,119.361393876209,5,5,336.477272727273,141.225268441172,3,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,0
1,22,F,Danish,right,1.0,9,1_9,600,647.202797202797,80.6472908718237,4,4,632.045454545455,138.185556169537,0,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,0
1,22,F,Danish,right,1.0,10,1_10,400,354.188481675393,215.233558021932,5,5,307.840909090909,136.688816823572,3,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,1
1,22,F,Danish,right,1.0,11,1_11,600,452.564102564103,107.788380843709,4,4,462.954545454545,140.591834932142,2,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,0
1,22,F,Danish,right,1.0,12,1_12,400,295.687645687646,89.7133118784421,4,4,276.818181818182,97.1824134687101,1,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.061284942356941374,0.5585815865378208,0
1,22,F,Danish,right,1.0,13,1_13,600,687.995337995338,128.295158047873,4,4,750.0,160.569267512253,1,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.08390480918654208,0.5916197355477971,0
1,22,F,Danish,right,1.0,14,1_14,400,435.340314136126,79.9465753650706,5,5,442.329545454545,143.758982831085,2,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.061284942356941374,0.5585815865378208,2
1,22,F,Danish,right,1.0,15,1_15,600,692.931937172775,122.618203441156,5,5,678.068181818182,142.669538120224,2,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,17,1_17,600,656.937172774869,164.836607992313,5,5,464.318181818182,172.425873401244,7,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,2
1,22,F,Danish,right,1.0,19,1_19,600,564.452214452214,59.1656883286575,4,4,563.181818181818,192.504695660235,3,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,20,1_20,400,428.554778554779,138.204064722995,4,4,437.045454545455,129.306597979344,0,1.0986122886681096,1.0986122886681096,0.0,0.061284942356941374,0.5585815865378208,1
1,22,F,Danish,right,1.0,21,1_21,600,753.263403263403,99.7780639898576,4,4,683.863636363636,306.847725850305,2,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,22,1_22,400,455.361305361305,204.667447134946,4,4,417.954545454545,245.59371054886,2,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,0
1,22,F,Danish,right,1.0,23,1_23,600,560.955710955711,248.456857386868,4,4,452.727272727273,214.72726791625,3,1.3862943611198906,1.3862943611198906,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,24,1_24,400,381.675392670157,225.115669764332,5,5,309.375,199.137895296137,5,1.3862943611198906,1.3862943611198906,0.0,0.061284942356941374,0.5585815865378208,1
1,22,F,Danish,right,1.0,25,1_25,600,475.874125874126,148.878803189117,4,4,454.090909090909,198.440719128571,1,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,27,1_27,600,543.717277486911,125.345023319386,5,5,545.625,226.761954453571,2,1.0986122886681096,1.0986122886681096,0.0,0.08390480918654208,0.5916197355477971,1
1,22,F,Danish,right,1.0,28,1_28,400,462.82722513089,110.868329977985,5,5,478.125,197.280353067941,3,1.0986122886681096,1.0986122886681096,0.0,0.061284942356941374,0.5585815865378208,1
1,22,F,Danish,right,1.0,29,1_29,600,531.937172774869,179.448304624229,5,5,472.5,186.312354363391,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.08390480918654208,0.5916197355477971,1
