pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio
1,600,5,1_47,1,0.6287878787878787
1,600,5,1_47,2,0.521276595744681
1,600,5,1_47,3,0.49180327868852475
1,600,5,1_50,1,0.4285714285714284
1,600,5,1_50,2,0.631578947368421
1,600,5,1_50,3,0.517857142857143
1,600,5,1_58,1,0.4057239057239053
1,600,5,1_58,2,0.48422496570644735
1,600,5,1_58,3,0.5977742448330683
1,600,5,1_70,1,0.4285714285714284
1,600,5,1_70,2,0.4612954186413901
1,600,5,1_70,3,0.5839041095890409
1,600,5,1_72,1,0.42528735632183895
1,600,5,1_72,2,0.6216696269982239
1,600,5,1_72,3,0.4976635514018692
1,600,5,1_74,1,0.41814946619217086
1,600,5,1_74,2,0.472543352601156
1,600,5,1_74,3,0.509065550906555
1,600,5,1_90,1,0.40363636363636357
1,600,5,1_90,2,0.6393762183235867
1,600,5,1_90,3,0.5068493150684933
1,600,5,1_94,1,0.5541401273885347
1,600,5,1_94,2,0.48611111111111144
1,600,5,1_94,3,0.563451776649746
1,600,5,1_97,1,0.3551401869158877
1,600,5,1_97,2,0.5207547169811325
1,600,5,1_97,3,0.40575079872204445
2,400,4,2_101,1,0.5243902439024384
2,400,4,2_101,2,0.4875000000000003
2,400,4,2_103,1,0.7798913043478264
2,400,4,2_103,2,0.23615160349854203
2,400,4,2_107,1,0.33849557522123863
2,400,4,2_107,2,0.7931034482758617
2,400,4,2_121,1,0.7187499999999998
2,400,4,2_121,2,0.24456521739130416
2,400,4,2_129,1,0.3159922928709052
2,400,4,2_129,2,0.4592496765847349
2,400,4,2_131,1,0.5164179104477612
2,400,4,2_131,2,0.32595573440643827
2,400,4,2_135,1,0.48148148148148195
2,400,4,2_135,2,0.19614711033274956
2,400,4,2_137,1,0.7893462469733661
2,400,4,2_137,2,0.2403314917127067
2,400,4,2_141,1,0.5740740740740742
2,400,4,2_141,2,0.6751467710371817
2,400,4,2_146,1,0.6074450084602367
2,400,4,2_146,2,0.7557003257328991
2,400,4,2_150,1,0.29052631578947347
2,400,4,2_150,2,0.674
2,400,4,2_152,1,0.44802867383512524
2,400,4,2_152,2,0.6623655913978492
2,400,4,2_156,1,0.4514285714285711
2,400,4,2_156,2,0.49357326478149144
2,400,4,2_164,1,0.692134831460674
2,400,4,2_164,2,0.35958005249343855
2,400,4,2_166,1,0.3142857142857143
2,400,4,2_166,2,0.5454545454545454
2,400,4,2_168,1,0.6431818181818179
2,400,4,2_168,2,0.4937106918238996
2,400,4,2_170,1,0.518348623853211
2,400,4,2_170,2,0.7645631067961165
2,400,4,2_172,1,0.684536082474227
2,400,4,2_172,2,0.3059999999999997
2,400,4,2_182,1,0.6660305343511452
2,400,4,2_182,2,0.3661087866108784
2,400,4,2_190,1,0.22554347826086912
2,400,4,2_190,2,0.7702702702702707
2,400,4,2_23,1,0.24462365591397894
2,400,4,2_23,2,0.3393719806763277
2,400,4,2_27,1,0.5153061224489797
2,400,4,2_27,2,0.4088952654232422
2,400,4,2_3,1,0.4637223974763407
2,400,4,2_3,2,0.7538802660753876
2,400,4,2_35,1,0.48518518518518455
2,400,4,2_35,2,0.2741617357001973
2,400,4,2_37,1,0.5020746887966809
2,400,4,2_37,2,0.27972027972027924
2,400,4,2_39,1,0.7280334728033473
2,400,4,2_39,2,0.3324808184143225
2,400,4,2_43,1,0.2572347266881033
2,400,4,2_43,2,0.7623762376237627
2,400,4,2_45,1,0.7049549549549553
2,400,4,2_45,2,0.3025404157043875
2,400,4,2_50,1,0.33183856502242154
2,400,4,2_50,2,0.4481203007518799
2,400,4,2_54,1,0.25388601036269415
2,400,4,2_54,2,0.6093088857545841
2,400,4,2_56,1,0.8025641025641026
2,400,4,2_56,2,0.25081433224755717
2,400,4,2_60,1,0.7315436241610741
2,400,4,2_60,2,0.3539823008849556
2,400,4,2_62,1,0.7281795511221948
2,400,4,2_62,2,0.47807017543859587
2,400,4,2_72,1,0.753768844221106
2,400,4,2_72,2,0.27222222222222175
2,400,4,2_74,1,0.22067039106145248
2,400,4,2_74,2,0.7664835164835168
2,400,4,2_78,1,0.6728778467908904
2,400,4,2_78,2,0.20076238881829714
2,400,4,2_86,1,0.5219683655536029
2,400,4,2_86,2,0.6570048309178745
2,400,4,2_9,1,0.5229813664596276
2,400,4,2_9,2,0.7398843930635834
2,400,4,2_90,1,0.5283018867924528
2,400,4,2_90,2,0.7724719101123597
2,400,4,2_92,1,0.1794871794871795
2,400,4,2_92,2,0.6446886446886446
2,400,4,2_97,1,0.40805604203152374
2,400,4,2_97,2,0.5469255663430418
2,400,5,2_109,1,0.27722772277227764
2,400,5,2_109,2,0.42034548944337774
2,400,5,2_109,3,0.7968337730870713
2,400,5,2_11,1,0.5505050505050494
2,400,5,2_11,2,0.23177083333333376
2,400,5,2_11,3,0.4524539877300613
2,400,5,2_111,1,0.6862745098039208
2,400,5,2_111,2,0.25396825396825445
2,400,5,2_111,3,0.5365296803652966
2,400,5,2_113,1,0.6490486257928114
2,400,5,2_113,2,0.33266533066132287
2,400,5,2_113,3,0.5162790697674421
2,400,5,2_117,1,0.2795389048991357
2,400,5,2_117,2,0.41186161449752856
2,400,5,2_117,3,0.8040540540540545
2,400,5,2_119,1,0.5080645161290321
2,400,5,2_119,2,0.31770833333333354
2,400,5,2_119,3,0.6672325976230898
2,400,5,2_123,1,0.3860544217687075
2,400,5,2_123,2,0.5247093023255816
2,400,5,2_123,3,0.8074074074074069
2,400,5,2_125,1,0.4965706447187928
2,400,5,2_125,2,0.5213068181818181
2,400,5,2_125,3,0.5090634441087615
2,400,5,2_127,1,0.567357512953368
2,400,5,2_127,2,0.516228748068006
2,400,5,2_127,3,0.5190713101160864
2,400,5,2_133,1,0.40248226950354615
2,400,5,2_133,2,0.4977843426883311
2,400,5,2_133,3,0.5246913580246912
2,400,5,2_139,1,0.49522510231923594
2,400,5,2_139,2,0.7489878542510119
2,400,5,2_139,3,0.5462555066079301
2,400,5,2_143,1,0.521390374331551
2,400,5,2_143,2,0.4211764705882343
2,400,5,2_143,3,0.8296795952782468
2,400,5,2_148,1,0.5254833040421794
2,400,5,2_148,2,0.7627118644067794
2,400,5,2_148,3,0.2339832869080782
2,400,5,2_154,1,0.5015105740181273
2,400,5,2_154,2,0.6445312499999996
2,400,5,2_154,3,0.5055555555555554
2,400,5,2_160,1,0.5351170568561869
2,400,5,2_160,2,0.5148148148148154
2,400,5,2_160,3,0.25787401574803104
2,400,5,2_162,1,0.419753086419753
2,400,5,2_162,2,0.4375000000000001
2,400,5,2_162,3,0.6957236842105263
2,400,5,2_174,1,0.5595854922279798
2,400,5,2_174,2,0.19999999999999976
2,400,5,2_174,3,0.4815864022662887
2,400,5,2_176,1,0.4969512195121952
2,400,5,2_176,2,0.4954954954954956
2,400,5,2_176,3,0.5637583892617448
2,400,5,2_178,1,0.3455598455598458
2,400,5,2_178,2,0.6469465648854962
2,400,5,2_178,3,0.3406998158379375
2,400,5,2_180,1,0.33112582781456973
2,400,5,2_180,2,0.7769230769230773
2,400,5,2_180,3,0.24857142857142825
2,400,5,2_184,1,0.2692307692307696
2,400,5,2_184,2,0.4488188976377949
2,400,5,2_184,3,0.6422018348623855
2,400,5,2_186,1,0.5456790123456795
2,400,5,2_186,2,0.4172335600907027
2,400,5,2_186,3,0.6163069544364509
2,400,5,2_19,1,0.750716332378224
2,400,5,2_19,2,0.462765957446808
2,400,5,2_19,3,0.2722371967654987
2,400,5,2_192,1,0.7463556851311959
2,400,5,2_192,2,0.24999999999999964
2,400,5,2_192,3,0.3901345291479818
2,400,5,2_21,1,0.35903083700440525
2,400,5,2_21,2,0.493220338983051
2,400,5,2_21,3,0.6499999999999998
2,400,5,2_25,1,0.4674329501915707
2,400,5,2_25,2,0.5650406504065041
2,400,5,2_25,3,0.40530303030303055
2,400,5,2_33,1,0.4882812500000003
2,400,5,2_33,2,0.2717842323651447
2,400,5,2_33,3,0.7177914110429451
2,400,5,2_41,1,0.5078124999999999
2,400,5,2_41,2,0.6730769230769235
2,400,5,2_41,3,0.2919847328244272
2,400,5,2_47,1,0.45138888888888895
2,400,5,2_47,2,0.8404255319148934
2,400,5,2_47,3,0.27777777777777807
2,400,5,2_52,1,0.5446685878962537
2,400,5,2_52,2,0.7669902912621361
2,400,5,2_52,3,0.24999999999999967
2,400,5,2_58,1,0.7742857142857145
2,400,5,2_58,2,0.20308483290488424
2,400,5,2_58,3,0.6300813008130083
2,400,5,2_64,1,0.2700892857142858
2,400,5,2_64,2,0.5125391849529778
2,400,5,2_64,3,0.5946462715105162
2,400,5,2_66,1,0.31180400890868554
2,400,5,2_66,2,0.7087155963302756
2,400,5,2_66,3,0.2514851485148513
2,400,5,2_68,1,0.36211031175059927
2,400,5,2_68,2,0.6288416075650115
2,400,5,2_68,3,0.3376344086021508
2,400,5,2_7,1,0.26757369614512444
2,400,5,2_7,2,0.7274774774774774
2,400,5,2_7,3,0.2624728850325381
2,400,5,2_70,1,0.4593373493975902
2,400,5,2_70,2,0.7165668662674654
2,400,5,2_70,3,0.4863013698630131
2,400,5,2_76,1,0.5759162303664924
2,400,5,2_76,2,0.45251396648044717
2,400,5,2_76,3,0.30246913580246876
2,400,5,2_80,1,0.689217758985201
2,400,5,2_80,2,0.3134328358208953
2,400,5,2_80,3,0.6736401673640169
2,400,5,2_82,1,0.6999999999999996
2,400,5,2_82,2,0.3388235294117652
2,400,5,2_82,3,0.7915492957746482
2,400,5,2_88,1,0.2212885154061623
2,400,5,2_88,2,0.4512987012987016
2,400,5,2_88,3,0.7100840336134454
2,400,5,2_94,1,0.2500000000000003
2,400,5,2_94,2,0.753333333333333
2,400,5,2_94,3,0.4784482758620695
2,400,5,2_99,1,0.4577114427860699
2,400,5,2_99,2,0.4954545454545445
2,400,5,2_99,3,0.2302904564315357
2,600,4,2_104,1,0.4935988620199146
2,600,4,2_104,2,0.5035360678925036
2,600,4,2_110,1,0.44158075601374575
2,600,4,2_110,2,0.5354200988467873
2,600,4,2_112,1,0.4107744107744107
2,600,4,2_112,2,0.5485893416927901
2,600,4,2_114,1,0.5352348993288591
2,600,4,2_114,2,0.4563426688632619
2,600,4,2_118,1,0.4460674157303374
2,600,4,2_118,2,0.733630952380952
2,600,4,2_122,1,0.48156182212581355
2,600,4,2_122,2,0.4050847457627118
2,600,4,2_126,1,0.43849493487698965
2,600,4,2_126,2,0.5511363636363639
2,600,4,2_128,1,0.554904831625183
2,600,4,2_128,2,0.5135135135135136
2,600,4,2_130,1,0.3284518828451886
2,600,4,2_130,2,0.43912448700410384
2,600,4,2_132,1,0.7191235059760955
2,600,4,2_132,2,0.3051948051948053
2,600,4,2_136,1,0.5069582504970179
2,600,4,2_136,2,0.4065573770491803
2,600,4,2_140,1,0.48401162790697677
2,600,4,2_140,2,0.5643879173290941
2,600,4,2_147,1,0.6241331484049929
2,600,4,2_147,2,0.6201372997711668
2,600,4,2_149,1,0.5408163265306121
2,600,4,2_149,2,0.4929577464788732
2,600,4,2_151,1,0.507418397626113
2,600,4,2_151,2,0.5045592705167172
2,600,4,2_153,1,0.4899224806201551
2,600,4,2_153,2,0.6868475991649267
2,600,4,2_157,1,0.43911439114391143
2,600,4,2_157,2,0.5757575757575759
2,600,4,2_16,1,0.3887399463806969
2,600,4,2_16,2,0.6315789473684211
2,600,4,2_167,1,0.31589958158995796
2,600,4,2_167,2,0.4371657754010693
2,600,4,2_169,1,0.5007235890014473
2,600,4,2_169,2,0.6818181818181817
2,600,4,2_171,1,0.4881141045958796
2,600,4,2_171,2,0.4575070821529744
2,600,4,2_173,1,0.5489655172413794
2,600,4,2_173,2,0.5007656967840733
2,600,4,2_175,1,0.3196202531645568
2,600,4,2_175,2,0.5193236714975847
2,600,4,2_177,1,0.490170380078637
2,600,4,2_177,2,0.676521739130435
2,600,4,2_179,1,0.5482717520858164
2,600,4,2_179,2,0.7274472168905953
2,600,4,2_181,1,0.48110465116279044
2,600,4,2_181,2,0.5450381679389312
2,600,4,2_185,1,0.5042918454935621
2,600,4,2_185,2,0.3387096774193548
2,600,4,2_26,1,0.5092348284960423
2,600,4,2_26,2,0.5337159253945482
2,600,4,2_28,1,0.47885196374622363
2,600,4,2_28,2,0.46938775510204067
2,600,4,2_34,1,0.4486607142857131
2,600,4,2_34,2,0.789137380191694
2,600,4,2_38,1,0.4247538677918426
2,600,4,2_38,2,0.5785007072135783
2,600,4,2_4,1,0.5247376311844077
2,600,4,2_4,2,0.5336700336700337
2,600,4,2_42,1,0.34740882917466437
2,600,4,2_42,2,0.6910569105691055
2,600,4,2_46,1,0.5568181818181815
2,600,4,2_46,2,0.4382022471910113
